MATNR,SPRAS,MAKTX
D2O_09077205423_C,R,Опорная стойка с сенсорами и фильтром
SOM_MSU_CLD_INFRA,J,多段階クラウドインフラストラクチャ
SOM_MSU_CLD_INFRA,R,Многоуровневая облачная инфраструктура
SOM_MSU_WL_VM,J,ワークロード - 仮想マシン
SOM_MSU_WL_VM,R,Рабочая нагрузка - виртуальная машина
SOM_SCR_CLD_STR,J,クラウドサブスクリプションストレージ
SOM_SCR_CLD_STR,R,Хранение для облачной подписки
SOM_SCR_VM_INST_GP,J,VM インスタンス - 汎用
SOM_SCR_VM_INST_GP,R,Инстанция ВМ - общее назначение
SOM_SCR_VM_INST_SO,J,VM インスタンス - ストレージ最適化済
SOM_SCR_VM_INST_SO,R,Инстанция ВМ - оптимиз. для хранения
SOM_SCR_WL_BR_MTL,J,ワークロード - ベアメタル
SOM_SCR_WL_BR_MTL,R,Рабочая нагрузка - без ПО
FG1_DS,J,FG1-DS、転がり軸受のあるシャフト
FG1_DS,R,"FG1-DS, вал с шариковыми подшипниками"
RM1_DS,J,RM1-DS、鋼鉄
RM1_DS,R,"RM1-DS, сталь"
RM2_DS,J,RM1-DS、鋼鉄
RM2_DS,R,"RM1-DS, сталь"
SG1_DS,J,SG1-DS、シャフト
SG1_DS,R,"SG1-DS, вал"
FG2_DS,J,FIN FG2 _DS、MTO
FG2_DS,R,"FIN FG2 _DS , MTO"
RM3_DS,J,RAW RM3_DS
RM3_DS,R,RAW RM3_DS
RM4_DS,J,RAW RM4_DS
RM4_DS,R,RAW RM4_DS
SG2_DS,J,SEMI SG2_DS
SG2_DS,R,SEMI SG2_DS
CSSRV_01,H,Szolgáltatás
RM09,S,"RAW09,PD,Fifo lote"
RM12,S,"RAW12,PD,FabricaciónRepetitiva"
RM13,S,"RAW13,PD,Subcontractación"
RM14,S,"RAW14,PD,Subcontractación"
RM15,S,"RAW15,PD"
RM16,S,"RAW16,PD"
RM17,S,"RAW17,PD"
RM18,S,"RAW18,PD"
CM-FL-V01,S,Carretilla elevadora
CM-FL-V00,S,Carretilla elevadora
RM19,S,"RAW19,PD,Fifo lote,LeanQM"
RM120,S,"RAW120,PD,GestiónCalida"
RM122,S,"RAW122,PD,Fifo lote,ImportAprov"
RM124,S,"RAW124,VB,Consumo,UbicFija"
RM128,S,"RAW128,PD,Consignación"
RM20,S,"RAW20,PD"
RM27,S,"RAW27,PD,CajaEmbalaje"
RM30,S,"RAW30,VB,Fifo lote"
SG124,S,"SEMI124,PD,Subensamblaje"
SG21,S,"SEMI21,PD,FabricaciónRepetitiva"
SG224,S,"SEMI224,MTO,PD,Subensamblaje"
SG22,S,"SEMI22,PD,Ficticio"
SG23,S,"SEMI23,PD,Subcontractación"
SG25,S,"SEMI25,PD,AprovisionamientoExterno"
FG126,S,"FIN126,MTS-DI,PD,FifoLote"
FG226,S,"FIN226,MTO,PD,FifoLote"
FG29,S,"FIN29,MTS-PI,PD,FechaCaducidadLote"
RM129,S,"RAW129,PD"
SP001,S,Cojinete
SP002,S,Acoplamiento
SP003,S,Eje
SP004,S,Juntas 1mm
SP005,S,Junta mecánica
SP006,S,Engranaje IS651
RM233-1,S,"RAW233-1, PD, KANBAN Transf.stock"
RM233-2,S,"RAW233-2,ND,KANBAN,acuerdos planif."
RM233-4,S,"RAW233-4,ND,KANBAN,acuerdos planif."
RM234,S,"RAW234,VB,fabric.repetitiva"
SG233,S,"SEMI233,PD,KANBAN, REM"
FG233,S,"FERT 233, PD, fabric.repetitiva"
SG29,S,"SEM29,PD,QM"
FG129,S,"FIN129,MTS-DI,PD,QM"
SGPI001,S,SALIDA 1
EWMS4-502,S,"RAW502,de alta rotación"
EWMS4-503,S,"RAW503,de alta rotación"
EWMS4-601,S,"RAW601,de alta rotación"
F-10A,S,"FIN10A,MTS-DDMRP,PD"
F-10B,S,"FIN10B,MTS-DDMRP,PD"
R-302,S,"RAW302,PD"
R-401,S,"RAW401,D1"
FG-FL-MV-V00,S,Carretilla elevadora: Variante material
EWMS4-50,S,"FIN50,de alta rotación"
RM33,S,"RAW33,PD,subcontratación"
RM34,S,"RAW34,PD,subcontratación"
SG27,S,"SEMI27,PD,subcontratación"
CM-MLFL-KM-VXX,S,Carretilla elevadora en varios niveles
FG-FL-MV-V01,S,Carret.elevadora: Variante material 1
FG-FL-MV-V02,S,Carret.elevadora: Variante material 2
F-20A,S,"FIN20A,MTS-DDMRP,PD"
R-311,S,"RAW311,PD"
R-410,S,"RAW410,PD"
R-411,S,"RAW411,PD"
R-412,S,"RAW412,PD"
FGIPD001,S,Asiento
RMIPD001,S,Hardware ARM 1
RMIPD002,S,Hardware ARM 2
SWNIPD001,S,Software ARM 1
SG26,S,"SEMI26,PD,subcontratación"
SGPI001-V00,S,SALIDA 1
SWN-CFG-SW-S1,S,Software S1
FG1_CP,S,"CP-FG1, Eje con rodamientos"
RM1_CP,S,"CP-RM1, Acero"
RM2_CP,S,"CP-RM2, Rodamiento"
RM3_CP,S,"CP-RM3, Anillo de retención"
RM4_CP,S,"CP-RM4, Material de embalaje"
SG1_CP,S,"CP-SG1, Eje"
FGME01,S,"FIN01, MTS, integración ME, A"
FGME02,S,"FIN02, MTS, integración ME, A"
RMME01,S,"RAW01, MTS, intergración, A"
RMME02,S,"RAW02, MTS, integración ME, A"
RMME03,S,"RAW03, MTS, integración ME, A"
RMME04,S,"RAW04, MTS, integración ME, A"
RMME05,S,"RAW05, MTS, integración ME, A"
RMME06,S,"RAW06, MTS, integración ME, A"
RMME07,S,"RAW07, MTS, integración ME, A"
SGME01,S,"SEMI01, MTS, integración ME, A"
SGME02,S,"SEMI02, MTS, integración ME, A"
FGME03,S,"FIN03, MTS, integración ME, B"
FGME04,S,"FIN04, MTS, integración ME, B"
SGME03,S,"SEMI03, MTS, integración ME, B"
SGME04,S,"SEMI04, MTS, integración ME, B"
FG126_V1,S,"FIN126,MTS-DI,PD,FifoLote"
RM235,S,"RAW235,VB"
QM006,S,LOTE DE PRODUCCIÓN GC
FG2_CP,S,"CP-FG2, tinta embotellada,15 ml"
RM5_CP,S,"CP-RM5, barniz"
RM6_CP,S,"CP-RM6, pigmento"
RM7_CP,S,"CP-RM7, etiqueta"
RM8_CP,S,"CP-RM8, botella"
SG2_CP,S,"CP-SG2, tinta embotellada"
SG-WPR-MOTOR,S,Wiper Motor
FG111,S,"FIN111, MTS-DI, PD"
FG111_A,S,"FIN111_A,MTS-DI,PD"
FG111_B,S,"FIN111_B, MTS-DI, PD"
FG111_C,S,"FIN111_C, MTS-DI, PD"
RM27_1,S,"RAW27_1, PD, embalaje"
RM1420,S,"RM1420, PD, disolvente"
RM1430,S,"RM1430, PD, catalizador"
SG2200,S,"SEMI2200, MTS-PI,PD, c/coprod.y subprod."
SG7100,S,"SEMI7100, PD, subproducto"
SG9100,S,"SEMI9100, PD, coproducto"
SG1010,S,"SEMI1010, DC, material de silo con lote"
FG29-1,S,"FIN29-1,MTS-PI, con material de silo"
FG6200,S,"FIN6200, MTO-PI, PD, lote"
SG6100,S,"SEMI6100, PI, PD, lote"
FG6500,S,"FIN6500, PI, PD, camión cisterna mat."
ZCART01,S,"Mercadería 11, PD, comercio registrado"
ZTRAY01,S,"Mercadería 11, PD, comercio registrado"
ZPRINTER01,S,"Mercadería 11, PD, comercio registrado"
SG234,S,"SEMI234,PD,KANBAN, MTS"
RMJIT01,S,"RAW01,JIT, fabricación repetitiva"
RMJIT02,S,"RAW02, JIT, fabricación repetitiva"
SGJIT01,S,"SEMI01,JIT, fabricación repetitiva"
SGJIT02,S,"SEMI02, JIT, fabricación repetitiva"
SG8100,S,"SEMI8100, PD, coproducto, precio FIJO"
PIP01,S,Material de pipeline 01
AVC_RBT_APPL_UNIT,S,Unidad de aplicación
AVC_RBT_BASE_FRAME,S,Estructura base
AVC_RBT_BUNDLE,S,Paquete de robot
AVC_RBT_CNTRL_BRD,S,Panel de control (programable)
AVC_RBT_CNTRL_CAB,S,Caja de control
AVC_RBT_CNTRL_UNIT,S,Unidad de control
AVC_RBT_ROBOT,S,Unidad base de robot
AVC_RBT_SEALING,S,Unidad de precintado
FG227,S,"FIN228,MTO,PD,FiFo lote"
FG3_CP,S,"CP-FG1, Eje con rodamientos"
SG3_CP,S,"CP-SG1, Eje"
CM-FL-V00-3P,S,Carretilla elevadora para terceros
AVC_RBT_BRD_PAINT,S,Panel de control (pintura)
AVC_RBT_BRD_SEAL,S,Panel de control (precintado)
AVC_RBT_CONTROL,S,Unidad de control (configurable)
AVC_RBT_LINK_ARM,S,Vincular brazo (configurable)
AVC_RBT_ROBOT2,S,Robot multi-nivel
SGPCSVT01,S,SVT semi 01
FG126_B,S,"FIN126,MTS-DI,PD,FifoLote"
FG126_V9,S,"FIN126,MTS-DI,PD,FifoLote"
CM-FL-V02,S,Carretilla elevadora
AVC_RBT_L_ARM_45,S,Longitud de brazo motriz 45
AVC_RBT_D_ARM_50,S,Longitud de brazo motriz 50
SG30,S,"SEM30,PD,PP"
FG130,S,"FIN130,MTS-DI,PD,PP"
SGJIT02-SERIALIZED,S,"MATERIAL SERIALIZADO, JIT"
FG202,S,Productos terminados
RM203,S,Materia prima RM203
RM204,S,Materia prima RM204
SF-FL-COMB,S,Modelo combustión base carretilla elev.
SF-FL-ELECTRIC,S,Modelo electrónico base carretilla elev.
SF-FL-TIRE-CUSH,S,Llanta maciza de carretilla elevadora
SF-FL-TIRE-PNEU,S,Llanta neumática de carretilla elevad.
RMPI001,S,Entrada 1 (AGUA)
RMPI002,S,Entrada 2 (AGENTE 2)
RMPI003,S,Entrada 3 (AGENTE 3)
RMPI004,S,Entrada 3 (agente 3)
RMPI005,S,Entrada 5 (color azul)
S-201,S,"SEMI201,MTS,D1,subconjunto"
S-202,S,"SEMI202,MTS,D1"
S-301,S,"SEMI301,MTS,PD,subconjunto"
SF-FL-FORKSEAT-VXX,S,Tipo de asiento carretilla elev.(HALB)
S-203,S,"SEMI203,D1"
S-208,S,"SEMI208,MTS,PD,Submontaje"
S-210,S,"SEMI210,MTS,PD,Submontaje"
S-310,S,"SEM310,MTS,PD,Submontaje"
S-315,S,"SEM315,MTS,PD,Submontaje"
SG-CFP,S,Bomba centrífuga
SG-CFP-ADAPTER,S,Adaptador
SG-CFP-B-BRNG,S,Rodamiento de bolas
SG-CFP-BRNG-BRKT,S,Soporte de cojinete
SG-CFP-CON,S,Conector
SG-CFP-CON_BK,S,Conector trasero
SG-CFP-CON_BX_CVR,S,Cubierta de la caja del conector
SG-CFP-COUPLER,S,Acoplador
SG-CFP-F-SENSOR,S,Sensor de movimiento
SG-CFP-HARNESS,S,Arnés
SG-CFP-HOUSING,S,Carcasa de la bomba
SG-CFP-IMPELLER,S,Impulso
SG-CFP-INBRD_CVR,S,Cubierta interior
SG-CFP-SEAL,S,Sello
SG-CFP-SHAFT,S,Eje
SG-CFP-V-SENSOR,S,Sensor de vibración
SDBOMERLAHD,S,SD BOM Cabecera ERLA
SDBOMERLAIT01,S,SD BOM ERLA Item01
SDBOMERLAIT02,S,SD BOM ERLA Item02
SDBOMLUMFHD,S,SD BOM Header LUMF
SDBOMLUMFIT01,S,SD BOM LUMF Item01
SDBOMLUMFIT02,S,SD BOM LUMF Item02
RMME08,S,"RAW08, MTS, integración ME, A"
RMME10,S,"RAW10, MTS, integración ME, B"
RMME11,S,"RAW11, MTS, integración ME, B"
RMME12,S,"RAW12, MTS, integración ME, B"
RMME13,S,"RAW13, MTS, integración ME, B"
RMME14,S,"RAW14, MTS, intergración ME, B"
RMME15,S,"RAW15, MTS, integración ME, B"
RMME16,S,"RAW16, MTS, integración ME, B"
SG-WPM-ELEC-PLUG,S,Electrical Plug
SG-WPM-GEAR-HSNG,S,Gear Housing
SG-WPM-MOTOR-HSG,S,Motor Housing
SG-WPM-RING-GEAR,S,Ring Gear
SF-FL-CWEIGHT,S, Escudo contrapeso carretilla elevadora
RMPC07,S,PMA bruto 07
RMPC08,S,PMA bruto 08
CSSRV_01,S,Servicio
RM120,H,"RAW120,PD,min.bizt."
RM122,H,"RAW122,PD,sarzs-Fifo,beszerzés import"
RM124,H,"RAW124,VB,felhasználás,rögz. tárhely"
RM128,H,"RAW128,PD,konszignáció"
RM20,H,"RAW20,PD"
RM27,H,"RAW27,PD,csom. doboz"
RM30,H,"RAW30,VB,sarzs-Fifo"
SG124,H,"SEMI124,PD,köztes szerelt egység"
SG21,H,"SEMI21,PD,sorozatgyártás"
SG224,H,"SEMI224,egyedi gyártás,PD,köztes szer.e."
SG22,H,"SEMI22,PD,dummy"
SG23,H,"SEMI23,PD,bérfeldolgozás"
SG24,H,"SEMI24,PD,sarzs-Fifo"
SG25,H,"SEMI25,PD,külső beszerzés"
FG126,H,"FIN126,MTS-DI,PD,gyártási sz."
FG226,H,"FIN226,e.gyártás,PD,sarzs-Fifo"
FG29,H,"FIN29,MTS-PI,PD,sarzs-lejárati dátum"
RM129,H,"RAW129,PD"
SP001,H,Csapágy
SP002,H,Kuplung
SP003,H,Tengely
SP004,H,Tömítések 1mm
SP005,H,Mechanikus tömítés
SP006,H,Homlokfogaskerék IS651
RM233-1,H,"RAW233-1, PD, KANBAN áttárolás"
RM233-2,H,"RAW233-2,ND,KANBAN, szállítási tervek"
RM233-4,H,"RAW233-4,ND,KANBAN,szállítási tervek"
RM234,H,"RAW234,VB,sorozatgyártás"
TG11,H,"Ker. áru 11, PD, normál ker."
RM09,H,"RAW09,PD,sarzs-Fifo"
RM12,H,"RAW12,PD,sorozatgyártás"
RM13,H,"RAW13,PD,bérfeldolgozás"
RM14,H,"RAW14,PD,bérfeldolgozás"
RM15,H,"RAW15,PD"
RM16,H,"RAW16,PD"
RM17,H,"RAW17,PD"
RM18,H,"RAW18,PD"
RM19,H,"RAW19,PD,sarzs-Fifo,LeanQM"
SG233,H,"SEMI233,PD,KANBAN, sorozatgyártás"
FG233,H,"FERT 233, PD, sorozatgyártás"
SG29,H,"SEM29,PD,QM"
FG129,H,"FIN129,MTS-DI,PD,QM"
RMPI001,H,1. kiindulási anyag (VÍZ)
RMPI002,H,2. kiindulási anyag (2. ANYAG)
RMPI003,H,3. kiindulási anyag (3. ANYAG)
RMPI004,H,4. kiindulási anyag (4. ANYAG)
RMME03,W,"RAW03, MTS, ME интеграция, A"
RMME04,W,"RAW04, MTS, ME интеграция, A"
RMME05,W,"RAW05, MTS, ME интеграция, A"
RMME06,W,"RAW06, MTS, ME интеграция, A"
RMME07,W,"RAW07, MTS, ME интеграция, A"
RMME08,W,"RAW08, MTS, ME интеграция, A"
SGME01,W,"SEMI01, MTS, ME интеграция, A"
SGME02,W,"SEMI02, MTS, ME интеграция, A"
FGME03,W,"FIN03, MTS, ME интеграция, B"
FGME04,W,"FIN04, MTS, ME интеграция, B"
RMME10,W,"RAW10, MTS, ME интеграция, B"
RMME11,W,"RAW11, MTS, ME интеграция, B"
RMME12,W,"RAW12, MTS, ME интеграция, B"
RMME13,W,"RAW13, MTS, ME интеграция, B"
RMME14,W,"RAW14, MTS, ME интеграция, B"
RMME15,W,"RAW15, MTS, ME интеграция, B"
RMME16,W,"RAW16, MTS, ME интеграция, B"
SGME03,W,"SEMI03, MTS, ME интеграция, B"
SGME04,W,"SEMI04, MTS, ME интеграция, B"
FG326_V1,V,"FIN326,PLM,MTS-DI,PD,parti-FIFO"
FG326_V1,W,"FIN326,PLM,MTS-DI,PD, партида FIFO"
FG126_V1,W,"FIN126,MTS-DI,PD,сериен номер"
RM235,W,"RAW235,VB"
QM006,W,Упр.качество - партида производство
FG2_CP,W,"CP-FG2, Бутилирано мастило, 15 мл"
RM5_CP,W,"CP-RM5, Лак"
RM6_CP,W,"CP-RM6, Пигмент"
RM7_CP,W,"CP-RM7, Етикет"
RM8_CP,W,"CP-RM8, Бутилка"
SG2_CP,W,"CP-SG2, Бутилирано мастило"
SG-WPM-ELEC-PLUG,W,Електрически щепсел
SG-WPM-GEAR-HSNG,W,Кожух на предавателна кутия
SG-WPM-MOTOR-HSG,W,Корпус на мотор
SG-WPM-RING-GEAR,W,Зъбен венец
SG-WPR-MOTOR,W,Мотор за чистачки
FG111,W,"FIN111, MTS-DI, PD"
FG111_A,W,"FIN111_A,MTS-DI,PD"
FG111_B,W,"FIN111_B, MTS-DI, PD"
FG111_C,W,"FIN111_C, MTS-DI, PD"
RM27_1,W,"RAW27_1, PD, опаковане"
RM1420,W,"RM1420, PD, Разтворител"
RM1430,W,"RM1430, PD, Катализатор"
SG2200,W,"SEMI2200,MTS-PI,PD,със странични прод."
SG7100,W,"SEMI7100, PD, Вторичен продукт"
SG9100,W,"SEMI9100, PD, Съпродукт"
SG1010,W,"SEMI1010, PD, матер.хранилище с партида"
FG29-1,W,"FIN29-1,MTS-PI, с материал в силоз"
FG6200,W,"FIN6200, MTO-PI, PD, партида"
SG6100,W,"SEMI6100, PI, PD, партида"
FG6500,W,"FIN6500, PI, PD, матер.ремарке цистерна"
FG326_V2,V,"FIN326,PLM,MTS-DI,PD,parti-FIFO"
FG326_V2,W,"FIN326,PLM,MTS-DI,PD, партида FIFO"
ZCART01,W,"Търг.стока 11,PD,обич.търговия"
ZTRAY01,W,"Търг.стока 11,PD,обич.търговия"
ZPRINTER01,W,"Търг.стока 11,PD,обич.търговия"
SG234,W,"SEMI234,PD,KANBAN, MTS"
RMJIT01,W,"RAW01,JIT,серийно производство"
RMJIT02,W,"RAW02,JIT,серийно производство"
SGJIT01,W,"SEMI01,JIT,серийно производство"
SGJIT02,W,"SEMI02,JIT,серийно производство"
SG8100,W,"SEMI8100, PD, съпътств.прод., ФИКС.цена"
PIP01,W,Pipeline материал 01
AVC_RBT_APPL_UNIT,W,Единица на приложение
AVC_RBT_BASE_FRAME,W,Базова рамка
AVC_RBT_BUNDLE,W,Пакет роботи
AVC_RBT_CNTRL_BRD,W,Контролно табло (с възм.за програмиране)
AVC_RBT_CNTRL_CAB,W,Контролен кабинет
AVC_RBT_CNTRL_UNIT,W,Контролна единица
AVC_RBT_ROBOT,W,Базова единица
AVC_RBT_SEALING,W,Единица уплътнение
FG227,W,"FIN228,MTO,PD,Batch-Fifo"
FG3_CP,W,"CP-FG1, вал с търкалящи лагери"
SG3_CP,W,"CP-SG1, вал"
CM-FL-V00-3P,W,Електрокар за трета страна
AVC_RBT_BRD_PAINT,W,Контролно табло (рисуване)
AVC_RBT_BRD_SEAL,W,Контролно табло (уплътнение)
AVC_RBT_CONTROL,W,Контролна единица (конфигурируема)
AVC_RBT_LINK_ARM,W,Рамо на връзка (конфигурируемо)
AVC_RBT_ROBOT2,W,Робот на много нива
RMPC07,W,Необработен PMA 07
RMPC08,W,Необработен PMA 08
SGPCSVT01,W,Незавърш. ПОВ 01
FG126_B,W,"FIN126,MTS-DI,PD,сериен номер"
FG126_V9,W,"FIN126,MTS-DI,PD,сериен номер"
FG326_A,V,"FIN326,PLM,MTS-DI,PD,parti-FIFO"
FG326_A,W,"FIN326,PLM,MTS-DI,PD, партида FIFO"
FG326_V9,V,"FIN326,PLM,MTS-DI,PD,parti-FIFO"
FG326_V9,W,"FIN326,PLM,MTS-DI,PD, партида FIFO"
CM-FL-V02,W,Електрокар
AVC_RBT_L_ARM_45,W,Дължина рамо диск 45
AVC_RBT_D_ARM_50,W,Дължина рамо диск 50
FG130,W,"FIN130, ПрС-DI,PD,PP"
SG30,W,"SEM30,PD,PP"
SGJIT02-SERIALIZED,W,"СЕРИАЛИЗИРАН МАТЕРИАЛ, JIT"
FG202,W,Завършено производство FG202
RM203,W,Суровина RM203
RM204,W,Суровина RM204
CSSRV_01,A,الخدمة
TG11,A,بضائع تجارية 11، PD، تداول إقليمي
S-201,A,SEMI201،إنتاج حسب المخزون،D1،تجميع فرعي
S-202,A,SEMI202، إنتاج حسب المخزون، D1
S-301,A,SEMI301،إنتاج ح.مخزون،تجاوز ا،تجميع فرعي
R-302,A,RAW302، تجاوز الاستحقاق
R-401,A,RAW401، ‏D1
RM14,A,RAW14،PD،تعاقُد من الباطن
RM09,A,RAW09،PD،دُفعة-الوارد أولاً يصرف أولاً
RM12,A,RAW12،PD،تصنيع متكرر
RM13,A,RAW13،PD،تعاقُد من الباطن
RM15,A,"RAW15,PD"
RM16,A,"RAW16,PD"
RM17,A,"RAW17,PD"
RM18,A,RAW18، PD
RM19,A,RAW19،PD،دُفعة-وارد أ.يصرف أ.،إ.ج.م.فاقد
RM120,A,"RAW120,PD,مُدار الجودة"
RM122,A,RAW122،PD،دُفعة-وارد أ.يصرف أ.،استيراد-إ
RM124,A,RAW124،VB،استهلاك،حاوية ثابتة
RM128,A,RAW128،PD،إيداع
RM20,A,"RAW20,PD"
RM27,A,"RAW27،PD,صندوق التعبئة"
RM30,A,RAW30،VB،دُفعة-الوارد أولاً يصرف أولاً
SG124,A,SEMI124،PD،تجميع فرعي
SG21,A,SEMI21،PD،تصنيع متكرر
SG224,A,SEMI224،MTO،PD،تجميع فرعي
SG22,A,SEMI22،PD،وهمي
SG23,A,SEMI23،PD،تعاقُد من الباطن
SG24,A,SEMI24،PD،دُفعة-الوارد أولاً يصرف أولاً
SG25,A,SEMI25،PD،إعداد للشراء خارجي
FG126,A,FIN126‏،MTS-DI،احتمال ت.عن التزام،رقم م.
FG226,A,FIN226‏،إ.ح.ط،ا.تخلف.ع.ا،دفعة-واردأ.ي.أ.
FG29,A,FIN29،MTS-PI،PD،دُفعة-تاريخ انتهاءصلاحية
RM129,A,RAW129، احتمال التخلف عن الالتزامات
RMPI001,A,الإدخال 1 (المياه)
RMPI002,A,الإدخال 2 (العامل المؤثر 2).
RMPI003,A,الإدخال 3 (العامل المؤثر 3)
RMPI004,A,الإدخال 4 (العامل المؤثر 4)
RMPI005,A,الإدخال 5 (اللون الأزرق)
SGPI001,A,الإخراج 1
CM-FL-V01,A,رافعة شوكية
SF-FL-COMB,A,نمط احتراق قاعدة الرافعة الشوكية
SF-FL-ELECTRIC,A,النمط الكهربائي لقاعدة الرافعة الشوكية
SF-FL-TIRE-CUSH,A,إطار وسادة الرافعة الشوكية
SF-FL-TIRE-PNEU,A,إطار هوائي للرافعة الشوكية
CM-FL-V00,A,رافعة شوكية
FG-FL-MV-V00,A,متغير المادة - الرافعة الشوكية
SP001,A,محمل
SP002,A,ربط
SP003,A,عمود
SP004,A,جُوان 1 مم
SP005,A,مانع تسرب ميكانيكي
SP006,A,تروس مستقيمة IS651
RM233-1,A,RAW233-1، PD، KANBAN، نقل المخزون
RM233-2,A,RAW233-2،ND،KANBAN، اتفاقيات الجدولة
RM233-4,A,RAW233-4،ND،KANBAN،اتفاقيات الجدولة
RM234,A,RAW234،VB،تصنيع متكرر
SG233,A,SEMI233،PD،KANBAN، REM
FG233,A,FERT 233، PD،تصنيع متكرر
SG29,A,SEM29، ‏PD، ‏QM
FG129,A,"FIN129,MTS-DI,PD,QM"
EWMS4-50,A,FIN50، مطلوب
EWMS4-502,A,RAW502، مطلوب
EWMS4-503,A,RAW503، مطلوب
EWMS4-601,A,RAW601، مطلوب
F-10A,A,FIN10A،إنتاج ح.م.-تخطيط م.م.حسب طلب،ت.ا.
F-10B,A,FIN10B،إنتاج ح.م.-تخطيط م.م.حسب طلب،ت.ا.
RM33,A,RAW33،PD، تعاقد من الباطن
RM34,A,RAW34،PD، تعاقد من الباطن
SG27,A,SEMI27،PD، تعاقد من الباطن
CM-MLFL-KM-VXX,A,رافعة شوكية متعددة المستويات
SF-FL-FORKSEAT-VXX,A,نوع مقعد الرافعة الشوكية (HALB)
FG-FL-MV-V01,A,الرافعة الشوكية - متغير المادة 1
FG-FL-MV-V02,A,الرافعة الشوكية - متغير المادة 2
S-203,A,"SEMI203,D1"
F-20A,A,"FIN20A,MTS-DDMRP,PD"
R-311,A,"RAW311,PD"
R-410,A,"RAW410,PD"
R-411,A,"RAW411,PD"
R-412,A,"RAW412,PD"
S-208,A,"SEMI208,MTS,PD، تجميع فرعي"
S-210,A,"SEMI210,MTS,PD، تجميع فرعي"
S-310,A,"SEM310,MTS,PD، تجميع فرعي"
S-315,A,"SEM315,MTS,PD، تجميع فرعي"
FGIPD001,A,مقعد
RMIPD001,A,إدارة المرتجعات المتقدمة - البرامج 1
RMIPD002,A,إدارة المرتجعات المتقدمة - البرامج 2
SWNIPD001,A,إدارة المرتجعات المتقدمة - البرامج 1
SG26,A,SEMI26،احتمال تخلف عن التزام،تعاقدم.باطن
SGPI001-V00,A,الإخراج 1
SG-CFP,A,مضخة طرد مركزي
SG-CFP-B-BRNG,A,حامل الكُرات
SG-CFP-BRNG-BRKT,A,دعامة تحميل
SG-CFP-CON_BK,A,جزء الموصِّل الخلفي
SG-CFP-CON_BX_CVR,A,غطاء علبة الموصِّل
SG-CFP-COUPLER,A,وصلة
SG-CFP-F-SENSOR,A,مستشعر التدفق
SG-CFP-HARNESS,A,حمّالة أمان
SG-CFP-HOUSING,A,علبة المضخة
SG-CFP-IMPELLER,A,دافعة مروحية
SG-CFP-INBRD_CVR,A,غطاء داخلي
SG-CFP-SEAL,A,سدادة
SG-CFP-SHAFT,A,عمود
SG-CFP-V-SENSOR,A,مستشعر الاهتزاز
SWN-CFG-SW-S1,A,البرنامج S1
FG1_CP,A,CP-FG1، عمود بحوامل مدورة
RM1_CP,A,CP-RM1، فولاذ
RM2_CP,A,CP-RM2، حامل مدور
RM3_CP,A,CP-RM3، حلقة مثبتة
RM4_CP,A,CP-RM4، مادة تعبئة
SG1_CP,A,CP-SG1، عمود
SDBOMERLAHD,A,مبيعات وتوزيع: مقدمة قائمة مواد - ERLA
SDBOMERLAIT01,A,مبيعات وتوزيع: قائمة مواد-ERLA-بند 01
SDBOMERLAIT02,A,مبيعات وتوزيع: قائمة مواد-ERLA-بند 02
SDBOMLUMFHD,A,مبيعات وتوزيع: مقدمة قائمة مواد - LUMF
SDBOMLUMFIT01,A,مبيعات وتوزيع: قائمة مواد-LUMF-بند 01
SDBOMLUMFIT02,A,مبيعات وتوزيع: قائمة مواد-LUMF-بند 02
FGME01,A,FIN01، إنتاج حسب المخزون، تكامل ‏ME، ‏A
FGME02,A,FIN02، إنتاج حسب المخزون، تكامل ‏ME، ‏A
RMME01,A,RAW01، إنتاج حسب المخزون، تكامل ‏ME، ‏A
RMME02,A,RAW02، إنتاج حسب المخزون، تكامل ‏ME، ‏A
RMME03,A,RAW03، إنتاج حسب المخزون، تكامل ‏ME، ‏A
RMME04,A,RAW04، إنتاج حسب المخزون، تكامل ‏ME، ‏A
RMME05,A,RAW05، إنتاج حسب المخزون، تكامل ‏ME، ‏A
RMME06,A,RAW06، إنتاج حسب المخزون، تكامل ‏ME، ‏A
RMME07,A,RAW07، إنتاج حسب المخزون، تكامل ‏ME، ‏A
RMME08,A,RAW08، إنتاج حسب المخزون، تكامل ‏ME، ‏A
SGME01,A,SEMI01، إنتاج حسب المخزون، تكامل ‏ME، ‏A
SGME02,A,SEMI02، إنتاج حسب المخزون، تكامل ‏ME، ‏A
FGME03,A,FIN03، إنتاج حسب المخزون، تكامل‏ ME، ‏B
FGME04,A,FIN04، إنتاج حسب المخزون، تكامل‏ ME، ‏B
RMME10,A,RAW10، إنتاج حسب المخزون، تكامل ‏ME، ‏B
RMME11,A,RAW11، إنتاج حسب المخزون، تكامل ‏ME، ‏B
RMME12,A,RAW12، إنتاج حسب المخزون، تكامل ‏ME، ‏B
RMME13,A,RAW13، إنتاج حسب المخزون، تكامل ‏ME، ‏B
RMME14,A,RAW14، إنتاج حسب المخزون، تكامل ‏ME، ‏B
RMME15,A,RAW15، إنتاج حسب المخزون، تكامل ‏ME، ‏B
RMME16,A,RAW16، إنتاج حسب المخزون، تكامل ‏ME، ‏B
SGME03,A,SEMI03، إنتاج حسب المخزون، تكامل ‏ME، ‏B
