MATNR,VKORG,VTWEG,DWERK,KONDM,MVGR1
AVC_RBT_L_ARM_45,6410,10,6410,,
AVC_RBT_SEALING,6410,10,6410,,
AVC_RBT_APPL_UNIT,6410,10,6410,,
AVC_RBT_BUNDLE,6410,10,6410,,
AVC_RBT_CNTRL_BRD,6410,10,6410,,
AVC_RBT_CNTRL_UNIT,6410,10,6410,,
AVC_RBT_ROBOT,6410,10,6410,,
TG11,6310,10,6310,,
FG126,6310,10,6310,,
RM12,6310,10,6310,,
RM120,6310,10,6310,,
RM122,6310,10,6310,,
RM124,6310,10,6310,,
RM128,6310,10,6310,,
RM13,6310,10,6310,,
RM14,6310,10,6310,,
RM16,6310,10,6310,,
RM20,6310,10,6310,,
RM27,6310,10,6310,,
SG124,6310,10,6310,,
SG21,6310,10,6310,,
SG22,6310,10,6310,,
SG224,6310,10,6310,,
SG25,6310,10,6310,,
FG29,6310,10,6310,,
SG24,6310,10,6310,,
SG23,6310,10,6310,,
RM129,6310,10,6310,,
FG228,6310,10,6310,,
RM33,6310,10,6310,,
RM34,6310,10,6310,,
SG27,6310,10,6310,,
FG233,6310,10,6310,,
SGPI001-V00,6310,10,6310,,
RMPI001,6310,10,6310,,
RMPI002,6310,10,6310,,
RMPI003,6310,10,6310,,
RMPI004,6310,10,6310,,
RMPI005,6310,10,6310,,
QM006,6310,10,6310,,
SDBOMERLAHD,6310,10,6310,,
SDBOMERLAIT01,6310,10,6310,,
SDBOMERLAIT02,6310,10,6310,,
SDBOMLUMFHD,6310,10,6310,,
SDBOMLUMFIT01,6310,10,6310,,
SDBOMLUMFIT02,6310,10,6310,,
CM-FL-V01,6310,10,6310,,
SF-FL-COMB,6310,10,6310,,
SF-FL-CWEIGHT,6310,10,6310,,
SF-FL-ELECTRIC,6310,10,6310,,
SF-FL-TIRE-CUSH,6310,10,6310,,
SF-FL-TIRE-PNEU,6310,10,6310,,
CM-MLFL-KM-VXX,6310,10,6310,,
SF-FL-FORKSEAT-VXX,6310,10,6310,,
CM-FL-V00,6310,10,6310,,
FG-FL-MV-V00,6310,10,6310,,
FG-FL-MV-V01,6310,10,6310,,
FG-FL-MV-V02,6310,10,6310,,
EWMS4-50,6310,10,6310,,
EWMS4-502,6310,10,6310,,
EWMS4-503,6310,10,6310,,
EWMS4-601,6310,10,6310,,
F-10A,6310,10,6310,,
F-10B,6310,10,6310,,
R-302,6310,10,6310,,
R-401,6310,10,6310,,
S-201,6310,10,6310,,
S-202,6310,10,6310,,
S-301,6310,10,6310,,
S-203,6310,10,6310,,
F-20A,6310,10,6310,,
R-311,6310,10,6310,,
R-410,6310,10,6310,,
R-411,6310,10,6310,,
R-412,6310,10,6310,,
S-208,6310,10,6310,,
S-210,6310,10,6310,,
S-310,6310,10,6310,,
S-315,6310,10,6310,,
SG26,6310,10,6310,,
FG1_CP,6310,10,6310,,
RM1_CP,6310,10,6310,,
RM2_CP,6310,10,6310,,
SG1_CP,6310,10,6310,,
FG2_CP,6310,10,6310,,
RMJIT01,6310,10,6310,,
RMJIT02,6310,10,6310,,
SGJIT01,6310,10,6310,,
SGJIT02,6310,10,6310,,
FG111,6310,10,6310,,
FG111_A,6310,10,6310,,
FG111_B,6310,10,6310,,
FG111_C,6310,10,6310,,
RM27_1,6310,10,6310,,
FG29-1,6310,10,6310,,
FG6200,6310,10,6310,,
SG6100,6310,10,6310,,
FG6500,6310,10,6310,,
AVC_RBT_BASE_FRAME,6310,10,6310,,
AVC_RBT_CNTRL_CAB,6310,10,6310,,
AVC_RBT_D_ARM_50,6310,10,6310,,
AVC_RBT_L_ARM_45,6310,10,6310,,
AVC_RBT_SEALING,6310,10,6310,,
AVC_RBT_APPL_UNIT,6310,10,6310,,
AVC_RBT_BUNDLE,6310,10,6310,,
AVC_RBT_CNTRL_BRD,6310,10,6310,,
AVC_RBT_CNTRL_UNIT,6310,10,6310,,
AVC_RBT_ROBOT,6310,10,6310,,
TG11,3610,10,3610,,
FG126,3610,10,3610,,
RM12,3610,10,3610,,
RM120,3610,10,3610,,
RM122,3610,10,3610,,
RM124,3610,10,3610,,
RM128,3610,10,3610,,
RM13,3610,10,3610,,
RM14,3610,10,3610,,
RM16,3610,10,3610,,
RM20,3610,10,3610,,
RM27,3610,10,3610,,
SG124,3610,10,3610,,
SG21,3610,10,3610,,
SG22,3610,10,3610,,
SG224,3610,10,3610,,
SG25,3610,10,3610,,
FG29,3610,10,3610,,
SG24,3610,10,3610,,
SG23,3610,10,3610,,
RM129,3610,10,3610,,
FG228,3610,10,3610,,
RM33,3610,10,3610,,
RM34,3610,10,3610,,
SG27,3610,10,3610,,
FG233,3610,10,3610,,
SGPI001-V00,3610,10,3610,,
RMPI001,3610,10,3610,,
RMPI002,3610,10,3610,,
RMPI003,3610,10,3610,,
RMPI004,3610,10,3610,,
RMPI005,3610,10,3610,,
QM006,3610,10,3610,,
SDBOMERLAHD,3610,10,3610,,
SDBOMERLAIT01,3610,10,3610,,
SDBOMERLAIT02,3610,10,3610,,
SDBOMLUMFHD,3610,10,3610,,
SDBOMLUMFIT01,3610,10,3610,,
SDBOMLUMFIT02,3610,10,3610,,
CM-FL-V01,3610,10,3610,,
SF-FL-COMB,3610,10,3610,,
SF-FL-CWEIGHT,3610,10,3610,,
SF-FL-ELECTRIC,3610,10,3610,,
SF-FL-TIRE-CUSH,3610,10,3610,,
SF-FL-TIRE-PNEU,3610,10,3610,,
CM-MLFL-KM-VXX,3610,10,3610,,
SF-FL-FORKSEAT-VXX,3610,10,3610,,
CM-FL-V00,3610,10,3610,,
FG-FL-MV-V00,3610,10,3610,,
FG-FL-MV-V01,3610,10,3610,,
FG-FL-MV-V02,3610,10,3610,,
F-10A,3610,10,3610,,
F-10B,3610,10,3610,,
R-302,3610,10,3610,,
R-401,3610,10,3610,,
S-201,3610,10,3610,,
S-202,3610,10,3610,,
S-301,3610,10,3610,,
S-203,3610,10,3610,,
F-20A,3610,10,3610,,
R-311,3610,10,3610,,
R-410,3610,10,3610,,
R-411,3610,10,3610,,
R-412,3610,10,3610,,
S-208,3610,10,3610,,
S-210,3610,10,3610,,
S-310,3610,10,3610,,
S-315,3610,10,3610,,
SG26,3610,10,3610,,
FG1_CP,3610,10,3610,,
RM1_CP,3610,10,3610,,
RM2_CP,3610,10,3610,,
SG1_CP,3610,10,3610,,
FG2_CP,3610,10,3610,,
RMJIT01,3610,10,3610,,
RMJIT02,3610,10,3610,,
SGJIT01,3610,10,3610,,
SGJIT02,3610,10,3610,,
FG111,3610,10,3610,,
FG111_A,3610,10,3610,,
FG111_B,3610,10,3610,,
FG111_C,3610,10,3610,,
RM27_1,3610,10,3610,,
FG29-1,3610,10,3610,,
FG6200,3610,10,3610,,
SG6100,3610,10,3610,,
FG6500,3610,10,3610,,
AVC_RBT_BASE_FRAME,3610,10,3610,,
AVC_RBT_CNTRL_CAB,3610,10,3610,,
AVC_RBT_D_ARM_50,3610,10,3610,,
AVC_RBT_L_ARM_45,3610,10,3610,,
AVC_RBT_SEALING,3610,10,3610,,
AVC_RBT_APPL_UNIT,3610,10,3610,,
AVC_RBT_BUNDLE,3610,10,3610,,
AVC_RBT_CNTRL_BRD,3610,10,3610,,
AVC_RBT_CNTRL_UNIT,3610,10,3610,,
AVC_RBT_ROBOT,3610,10,3610,,
TG11,6810,10,6810,,
FG126,6810,10,6810,,
RM12,6810,10,6810,,
RM120,6810,10,6810,,
RM122,6810,10,6810,,
RM124,6810,10,6810,,
RM128,6810,10,6810,,
RM13,6810,10,6810,,
RM14,6810,10,6810,,
RM16,6810,10,6810,,
RM20,6810,10,6810,,
RM27,6810,10,6810,,
SG124,6810,10,6810,,
SG21,6810,10,6810,,
SG22,6810,10,6810,,
SG224,6810,10,6810,,
SG25,6810,10,6810,,
FG29,6810,10,6810,,
SG24,6810,10,6810,,
SG23,6810,10,6810,,
RM129,6810,10,6810,,
FG228,6810,10,6810,,
RM33,6810,10,6810,,
RM34,6810,10,6810,,
SG27,6810,10,6810,,
FG233,6810,10,6810,,
SGPI001-V00,6810,10,6810,,
RMPI001,6810,10,6810,,
RMPI002,6810,10,6810,,
RMPI003,6810,10,6810,,
RMPI004,6810,10,6810,,
RMPI005,6810,10,6810,,
QM006,6810,10,6810,,
SDBOMERLAHD,6810,10,6810,,
SDBOMERLAIT01,6810,10,6810,,
SDBOMERLAIT02,6810,10,6810,,
SDBOMLUMFHD,6810,10,6810,,
SDBOMLUMFIT01,6810,10,6810,,
SDBOMLUMFIT02,6810,10,6810,,
CM-FL-V01,6810,10,6810,,
SF-FL-COMB,6810,10,6810,,
SF-FL-CWEIGHT,6810,10,6810,,
SF-FL-ELECTRIC,6810,10,6810,,
SF-FL-TIRE-CUSH,6810,10,6810,,
SF-FL-TIRE-PNEU,6810,10,6810,,
CM-MLFL-KM-VXX,6810,10,6810,,
SF-FL-FORKSEAT-VXX,6810,10,6810,,
CM-FL-V00,6810,10,6810,,
FG-FL-MV-V00,6810,10,6810,,
FG-FL-MV-V01,6810,10,6810,,
FG-FL-MV-V02,6810,10,6810,,
F-10A,6810,10,6810,,
F-10B,6810,10,6810,,
R-302,6810,10,6810,,
R-401,6810,10,6810,,
S-201,6810,10,6810,,
S-202,6810,10,6810,,
S-301,6810,10,6810,,
S-203,6810,10,6810,,
F-20A,6810,10,6810,,
R-311,6810,10,6810,,
R-410,6810,10,6810,,
R-411,6810,10,6810,,
R-412,6810,10,6810,,
S-208,6810,10,6810,,
S-210,6810,10,6810,,
S-310,6810,10,6810,,
S-315,6810,10,6810,,
SG26,6810,10,6810,,
FG1_CP,6810,10,6810,,
RM1_CP,6810,10,6810,,
RM2_CP,6810,10,6810,,
SG1_CP,6810,10,6810,,
FG2_CP,6810,10,6810,,
RMJIT01,6810,10,6810,,
RMJIT02,6810,10,6810,,
SGJIT01,6810,10,6810,,
SGJIT02,6810,10,6810,,
FG111,6810,10,6810,,
FG111_A,6810,10,6810,,
FG111_B,6810,10,6810,,
FG111_C,6810,10,6810,,
RM27_1,6810,10,6810,,
FG29-1,6810,10,6810,,
FG6200,6810,10,6810,,
SG6100,6810,10,6810,,
FG6500,6810,10,6810,,
AVC_RBT_BASE_FRAME,6810,10,6810,,
AVC_RBT_CNTRL_CAB,6810,10,6810,,
AVC_RBT_D_ARM_50,6810,10,6810,,
AVC_RBT_L_ARM_45,6810,10,6810,,
AVC_RBT_SEALING,6810,10,6810,,
AVC_RBT_APPL_UNIT,6810,10,6810,,
AVC_RBT_BUNDLE,6810,10,6810,,
AVC_RBT_CNTRL_BRD,6810,10,6810,,
AVC_RBT_CNTRL_UNIT,6810,10,6810,,
AVC_RBT_ROBOT,6810,10,6810,,
TG11,2710,10,2710,,
FG126,2710,10,2710,,
RM12,2710,10,2710,,
RM120,2710,10,2710,,
RM122,2710,10,2710,,
RM124,2710,10,2710,,
RM128,2710,10,2710,,
RM13,2710,10,2710,,
RM14,2710,10,2710,,
RM16,2710,10,2710,,
RM20,2710,10,2710,,
RM27,2710,10,2710,,
SG124,2710,10,2710,,
SG21,2710,10,2710,,
SG22,2710,10,2710,,
SG224,2710,10,2710,,
SG25,2710,10,2710,,
FG29,2710,10,2710,,
SG24,2710,10,2710,,
SG23,2710,10,2710,,
RM129,2710,10,2710,,
FG228,2710,10,2710,,
RM33,2710,10,2710,,
RM34,2710,10,2710,,
SG27,2710,10,2710,,
FG233,2710,10,2710,,
SGPI001-V00,2710,10,2710,,
RMPI001,2710,10,2710,,
RMPI002,2710,10,2710,,
RMPI003,2710,10,2710,,
RMPI004,2710,10,2710,,
RMPI005,2710,10,2710,,
QM006,2710,10,2710,,
SDBOMERLAHD,2710,10,2710,,
SDBOMERLAIT01,2710,10,2710,,
SDBOMERLAIT02,2710,10,2710,,
SDBOMLUMFHD,2710,10,2710,,
SDBOMLUMFIT01,2710,10,2710,,
SDBOMLUMFIT02,2710,10,2710,,
CM-FL-V01,2710,10,2710,,
SF-FL-COMB,2710,10,2710,,
SF-FL-CWEIGHT,2710,10,2710,,
SF-FL-ELECTRIC,2710,10,2710,,
SF-FL-TIRE-CUSH,2710,10,2710,,
SF-FL-TIRE-PNEU,2710,10,2710,,
CM-MLFL-KM-VXX,2710,10,2710,,
SF-FL-FORKSEAT-VXX,2710,10,2710,,
CM-FL-V00,2710,10,2710,,
FG-FL-MV-V00,2710,10,2710,,
FG-FL-MV-V01,2710,10,2710,,
FG-FL-MV-V02,2710,10,2710,,
F-10A,2710,10,2710,,
F-10B,2710,10,2710,,
R-302,2710,10,2710,,
R-401,2710,10,2710,,
S-201,2710,10,2710,,
S-202,2710,10,2710,,
S-301,2710,10,2710,,
S-203,2710,10,2710,,
F-20A,2710,10,2710,,
R-311,2710,10,2710,,
R-410,2710,10,2710,,
R-411,2710,10,2710,,
R-412,2710,10,2710,,
S-208,2710,10,2710,,
S-210,2710,10,2710,,
S-310,2710,10,2710,,
S-315,2710,10,2710,,
SG26,2710,10,2710,,
FG1_CP,2710,10,2710,,
RM1_CP,2710,10,2710,,
RM2_CP,2710,10,2710,,
SG1_CP,2710,10,2710,,
FG2_CP,2710,10,2710,,
RMJIT01,2710,10,2710,,
RMJIT02,2710,10,2710,,
SGJIT01,2710,10,2710,,
SGJIT02,2710,10,2710,,
FG29-1,2710,10,2710,,
FG6200,2710,10,2710,,
SG6100,2710,10,2710,,
FG6500,2710,10,2710,,
AVC_RBT_BASE_FRAME,2710,10,2710,,
AVC_RBT_CNTRL_CAB,2710,10,2710,,
AVC_RBT_D_ARM_50,2710,10,2710,,
AVC_RBT_L_ARM_45,2710,10,2710,,
AVC_RBT_SEALING,2710,10,2710,,
AVC_RBT_APPL_UNIT,2710,10,2710,,
AVC_RBT_BUNDLE,2710,10,2710,,
AVC_RBT_CNTRL_BRD,2710,10,2710,,
AVC_RBT_CNTRL_UNIT,2710,10,2710,,
AVC_RBT_ROBOT,2710,10,2710,,
TG11,6110,10,6110,,
FG126,6110,10,6110,,
RM12,6110,10,6110,,
RM120,6110,10,6110,,
RM122,6110,10,6110,,
RM124,6110,10,6110,,
RM128,6110,10,6110,,
RM13,6110,10,6110,,
RM14,6110,10,6110,,
RM16,6110,10,6110,,
RM20,6110,10,6110,,
RM27,6110,10,6110,,
SG124,6110,10,6110,,
SG21,6110,10,6110,,
SG22,6110,10,6110,,
SG224,6110,10,6110,,
SG25,6110,10,6110,,
FG29,6110,10,6110,,
SG24,6110,10,6110,,
SG23,6110,10,6110,,
RM129,6110,10,6110,,
FG228,6110,10,6110,,
RM33,6110,10,6110,,
RM34,6110,10,6110,,
SG27,6110,10,6110,,
FG233,6110,10,6110,,
SGPI001-V00,6110,10,6110,,
RMPI001,6110,10,6110,,
RMPI002,6110,10,6110,,
RMPI003,6110,10,6110,,
RMPI004,6110,10,6110,,
RMPI005,6110,10,6110,,
QM006,6110,10,6110,,
SDBOMERLAHD,6110,10,6110,,
SDBOMERLAIT01,6110,10,6110,,
SDBOMERLAIT02,6110,10,6110,,
SDBOMLUMFHD,6110,10,6110,,
SDBOMLUMFIT01,6110,10,6110,,
SDBOMLUMFIT02,6110,10,6110,,
CM-FL-V01,6110,10,6110,,
SF-FL-COMB,6110,10,6110,,
SF-FL-CWEIGHT,6110,10,6110,,
SF-FL-ELECTRIC,6110,10,6110,,
SF-FL-TIRE-CUSH,6110,10,6110,,
SF-FL-TIRE-PNEU,6110,10,6110,,
CM-MLFL-KM-VXX,6110,10,6110,,
SF-FL-FORKSEAT-VXX,6110,10,6110,,
CM-FL-V00,6110,10,6110,,
FG-FL-MV-V00,6110,10,6110,,
FG-FL-MV-V01,6110,10,6110,,
FG-FL-MV-V02,6110,10,6110,,
EWMS4-50,6110,10,6110,,
EWMS4-502,6110,10,6110,,
EWMS4-503,6110,10,6110,,
EWMS4-601,6110,10,6110,,
F-10A,6110,10,6110,,
F-10B,6110,10,6110,,
R-302,6110,10,6110,,
R-401,6110,10,6110,,
S-201,6110,10,6110,,
S-202,6110,10,6110,,
S-301,6110,10,6110,,
S-203,6110,10,6110,,
F-20A,6110,10,6110,,
R-311,6110,10,6110,,
R-410,6110,10,6110,,
R-411,6110,10,6110,,
R-412,6110,10,6110,,
S-208,6110,10,6110,,
S-210,6110,10,6110,,
S-310,6110,10,6110,,
S-315,6110,10,6110,,
SG26,6110,10,6110,,
FG1_CP,6110,10,6110,,
RM1_CP,6110,10,6110,,
RM2_CP,6110,10,6110,,
SG1_CP,6110,10,6110,,
FG2_CP,6110,10,6110,,
RMJIT01,6110,10,6110,,
RMJIT02,6110,10,6110,,
SGJIT01,6110,10,6110,,
SGJIT02,6110,10,6110,,
FG111,6110,10,6110,,
FG111_A,6110,10,6110,,
FG111_B,6110,10,6110,,
FG111_C,6110,10,6110,,
RM27_1,6110,10,6110,,
FG29-1,6110,10,6110,,
FG6200,6110,10,6110,,
SG6100,6110,10,6110,,
FG6500,6110,10,6110,,
AVC_RBT_BASE_FRAME,6110,10,6110,,
AVC_RBT_CNTRL_CAB,6110,10,6110,,
AVC_RBT_D_ARM_50,6110,10,6110,,
AVC_RBT_L_ARM_45,6110,10,6110,,
AVC_RBT_SEALING,6110,10,6110,,
AVC_RBT_APPL_UNIT,6110,10,6110,,
AVC_RBT_BUNDLE,6110,10,6110,,
AVC_RBT_CNTRL_BRD,6110,10,6110,,
AVC_RBT_CNTRL_UNIT,6110,10,6110,,
AVC_RBT_ROBOT,6110,10,6110,,
TG11,1910,10,1910,,
FG126,1910,10,1910,,
RM12,1910,10,1910,,
RM120,1910,10,1910,,
RM122,1910,10,1910,,
RM124,1910,10,1910,,
RM128,1910,10,1910,,
RM13,1910,10,1910,,
RM14,1910,10,1910,,
RM16,1910,10,1910,,
RM20,1910,10,1910,,
RM27,1910,10,1910,,
SG124,1910,10,1910,,
SG21,1910,10,1910,,
SG22,1910,10,1910,,
SG224,1910,10,1910,,
SG25,1910,10,1910,,
FG29,1910,10,1910,,
SG24,1910,10,1910,,
SG23,1910,10,1910,,
RM129,1910,10,1910,,
FG228,1910,10,1910,,
RM33,1910,10,1910,,
RM34,1910,10,1910,,
SG27,1910,10,1910,,
FG233,1910,10,1910,,
SGPI001-V00,1910,10,1910,,
RMPI001,1910,10,1910,,
RMPI002,1910,10,1910,,
RMPI003,1910,10,1910,,
RMPI004,1910,10,1910,,
RMPI005,1910,10,1910,,
QM006,1910,10,1910,,
SDBOMERLAHD,1910,10,1910,,
SDBOMERLAIT01,1910,10,1910,,
SDBOMERLAIT02,1910,10,1910,,
SDBOMLUMFHD,1910,10,1910,,
SDBOMLUMFIT01,1910,10,1910,,
SDBOMLUMFIT02,1910,10,1910,,
CM-FL-V01,1910,10,1910,,
SF-FL-COMB,1910,10,1910,,
SF-FL-CWEIGHT,1910,10,1910,,
SF-FL-ELECTRIC,1910,10,1910,,
SF-FL-TIRE-CUSH,1910,10,1910,,
SF-FL-TIRE-PNEU,1910,10,1910,,
CM-MLFL-KM-VXX,1910,10,1910,,
SF-FL-FORKSEAT-VXX,1910,10,1910,,
CM-FL-V00,1910,10,1910,,
FG-FL-MV-V00,1910,10,1910,,
FG-FL-MV-V01,1910,10,1910,,
FG-FL-MV-V02,1910,10,1910,,
EWMS4-50,1910,10,1910,,
EWMS4-502,1910,10,1910,,
EWMS4-503,1910,10,1910,,
EWMS4-601,1910,10,1910,,
F-10A,1910,10,1910,,
F-10B,1910,10,1910,,
R-302,1910,10,1910,,
R-401,1910,10,1910,,
S-201,1910,10,1910,,
S-202,1910,10,1910,,
S-301,1910,10,1910,,
S-203,1910,10,1910,,
F-20A,1910,10,1910,,
R-311,1910,10,1910,,
R-410,1910,10,1910,,
R-411,1910,10,1910,,
R-412,1910,10,1910,,
S-208,1910,10,1910,,
S-210,1910,10,1910,,
S-310,1910,10,1910,,
S-315,1910,10,1910,,
SG26,1910,10,1910,,
FG1_CP,1910,10,1910,,
RM1_CP,1910,10,1910,,
RM2_CP,1910,10,1910,,
SG1_CP,1910,10,1910,,
FG2_CP,1910,10,1910,,
RMJIT01,1910,10,1910,,
RMJIT02,1910,10,1910,,
SGJIT01,1910,10,1910,,
SGJIT02,1910,10,1910,,
FG111,1910,10,1910,,
FG111_A,1910,10,1910,,
FG111_B,1910,10,1910,,
FG111_C,1910,10,1910,,
RM27_1,1910,10,1910,,
FG29-1,1910,10,1910,,
FG6200,1910,10,1910,,
SG6100,1910,10,1910,,
FG6500,1910,10,1910,,
AVC_RBT_BASE_FRAME,1910,10,1910,,
AVC_RBT_CNTRL_CAB,1910,10,1910,,
AVC_RBT_D_ARM_50,1910,10,1910,,
AVC_RBT_L_ARM_45,1910,10,1910,,
AVC_RBT_SEALING,1910,10,1910,,
AVC_RBT_APPL_UNIT,1910,10,1910,,
AVC_RBT_BUNDLE,1910,10,1910,,
AVC_RBT_CNTRL_BRD,1910,10,1910,,
AVC_RBT_CNTRL_UNIT,1910,10,1910,,
AVC_RBT_ROBOT,1910,10,1910,,
TG11,5910,10,5910,,
FG126,5910,10,5910,,
RM12,5910,10,5910,,
RM120,5910,10,5910,,
RM122,5910,10,5910,,
RM124,5910,10,5910,,
RM128,5910,10,5910,,
RM13,5910,10,5910,,
RM14,5910,10,5910,,
RM16,5910,10,5910,,
RM20,5910,10,5910,,
RM27,5910,10,5910,,
SG124,5910,10,5910,,
SG21,5910,10,5910,,
SG22,5910,10,5910,,
SG224,5910,10,5910,,
SG25,5910,10,5910,,
FG29,5910,10,5910,,
SG24,5910,10,5910,,
SG23,5910,10,5910,,
RM129,5910,10,5910,,
FG228,5910,10,5910,,
RM33,5910,10,5910,,
RM34,5910,10,5910,,
SG27,5910,10,5910,,
FG233,5910,10,5910,,
SGPI001-V00,5910,10,5910,,
RMPI001,5910,10,5910,,
RMPI002,5910,10,5910,,
RMPI003,5910,10,5910,,
RMPI004,5910,10,5910,,
RMPI005,5910,10,5910,,
QM006,5910,10,5910,,
SDBOMERLAHD,5910,10,5910,,
SDBOMERLAIT01,5910,10,5910,,
SDBOMERLAIT02,5910,10,5910,,
SDBOMLUMFHD,5910,10,5910,,
SDBOMLUMFIT01,5910,10,5910,,
SDBOMLUMFIT02,5910,10,5910,,
CM-FL-V01,5910,10,5910,,
SF-FL-COMB,5910,10,5910,,
SF-FL-CWEIGHT,5910,10,5910,,
SF-FL-ELECTRIC,5910,10,5910,,
SF-FL-TIRE-CUSH,5910,10,5910,,
SF-FL-TIRE-PNEU,5910,10,5910,,
CM-MLFL-KM-VXX,5910,10,5910,,
SF-FL-FORKSEAT-VXX,5910,10,5910,,
CM-FL-V00,5910,10,5910,,
FG-FL-MV-V00,5910,10,5910,,
FG-FL-MV-V01,5910,10,5910,,
FG-FL-MV-V02,5910,10,5910,,
F-10A,5910,10,5910,,
F-10B,5910,10,5910,,
R-302,5910,10,5910,,
R-401,5910,10,5910,,
S-201,5910,10,5910,,
S-202,5910,10,5910,,
S-301,5910,10,5910,,
S-203,5910,10,5910,,
F-20A,5910,10,5910,,
R-311,5910,10,5910,,
R-410,5910,10,5910,,
R-411,5910,10,5910,,
R-412,5910,10,5910,,
S-208,5910,10,5910,,
S-210,5910,10,5910,,
S-310,5910,10,5910,,
S-315,5910,10,5910,,
SG26,5910,10,5910,,
FG1_CP,5910,10,5910,,
RM1_CP,5910,10,5910,,
RM2_CP,5910,10,5910,,
SG1_CP,5910,10,5910,,
FG2_CP,5910,10,5910,,
TG11,1610,10,1610,,
FG126,1610,10,1610,,
RM12,1610,10,1610,,
RM120,1610,10,1610,,
RM122,1610,10,1610,,
RM124,1610,10,1610,,
RM128,1610,10,1610,,
RM13,1610,10,1610,,
RM14,1610,10,1610,,
RM16,1610,10,1610,,
RM20,1610,10,1610,,
RM27,1610,10,1610,,
SG124,1610,10,1610,,
SG21,1610,10,1610,,
SG22,1610,10,1610,,
SG224,1610,10,1610,,
SG25,1610,10,1610,,
FG29,1610,10,1610,,
SG24,1610,10,1610,,
SG23,1610,10,1610,,
RM129,1610,10,1610,,
FG228,1610,10,1610,,
RM33,1610,10,1610,,
RM34,1610,10,1610,,
SG27,1610,10,1610,,
FG233,1610,10,1610,,
SGPI001-V00,1610,10,1610,,
RMPI001,1610,10,1610,,
RMPI002,1610,10,1610,,
RMPI003,1610,10,1610,,
RMPI004,1610,10,1610,,
RMPI005,1610,10,1610,,
QM006,1610,10,1610,,
SDBOMERLAHD,1610,10,1610,,
SDBOMERLAIT01,1610,10,1610,,
SDBOMERLAIT02,1610,10,1610,,
SDBOMLUMFHD,1610,10,1610,,
SDBOMLUMFIT01,1610,10,1610,,
SDBOMLUMFIT02,1610,10,1610,,
CM-FL-V01,1610,10,1610,,
SF-FL-COMB,1610,10,1610,,
SF-FL-CWEIGHT,1610,10,1610,,
SF-FL-ELECTRIC,1610,10,1610,,
SF-FL-TIRE-CUSH,1610,10,1610,,
SF-FL-TIRE-PNEU,1610,10,1610,,
CM-MLFL-KM-VXX,1610,10,1610,,
SF-FL-FORKSEAT-VXX,1610,10,1610,,
CM-FL-V00,1610,10,1610,,
FG-FL-MV-V00,1610,10,1610,,
FG-FL-MV-V01,1610,10,1610,,
FG-FL-MV-V02,1610,10,1610,,
EWMS4-50,1610,10,1610,,
EWMS4-502,1610,10,1610,,
EWMS4-503,1610,10,1610,,
EWMS4-601,1610,10,1610,,
F-10A,1610,10,1610,,
F-10B,1610,10,1610,,
R-302,1610,10,1610,,
R-401,1610,10,1610,,
S-201,1610,10,1610,,
S-202,1610,10,1610,,
S-301,1610,10,1610,,
S-203,1610,10,1610,,
F-20A,1610,10,1610,,
R-311,1610,10,1610,,
R-410,1610,10,1610,,
R-411,1610,10,1610,,
R-412,1610,10,1610,,
S-208,1610,10,1610,,
S-210,1610,10,1610,,
S-310,1610,10,1610,,
S-315,1610,10,1610,,
FG1_CP,1610,10,1610,,
RM1_CP,1610,10,1610,,
RM2_CP,1610,10,1610,,
SG1_CP,1610,10,1610,,
FG2_CP,1610,10,1610,,
FG111,1610,10,1610,,
FG111_A,1610,10,1610,,
FG111_B,1610,10,1610,,
FG111_C,1610,10,1610,,
RM27_1,1610,10,1610,,
FG29-1,1610,10,1610,,
FG6200,1610,10,1610,,
SG6100,1610,10,1610,,
FG6500,1610,10,1610,,
AVC_RBT_BASE_FRAME,1610,10,1610,,
AVC_RBT_CNTRL_CAB,1610,10,1610,,
AVC_RBT_D_ARM_50,1610,10,1610,,
AVC_RBT_L_ARM_45,1610,10,1610,,
AVC_RBT_SEALING,1610,10,1610,,
AVC_RBT_APPL_UNIT,1610,10,1610,,
AVC_RBT_BUNDLE,1610,10,1610,,
AVC_RBT_CNTRL_BRD,1610,10,1610,,
AVC_RBT_CNTRL_UNIT,1610,10,1610,,
AVC_RBT_ROBOT,1610,10,1610,,
TG11,2810,10,2810,,
FG126,2810,10,2810,,
RM12,2810,10,2810,,
RM120,2810,10,2810,,
RM122,2810,10,2810,,
RM124,2810,10,2810,,
RM128,2810,10,2810,,
RM13,2810,10,2810,,
RM14,2810,10,2810,,
RM16,2810,10,2810,,
RM20,2810,10,2810,,
RM27,2810,10,2810,,
SG124,2810,10,2810,,
SG21,2810,10,2810,,
SG22,2810,10,2810,,
SG224,2810,10,2810,,
SG25,2810,10,2810,,
FG29,2810,10,2810,,
SG24,2810,10,2810,,
SG23,2810,10,2810,,
RM129,2810,10,2810,,
FG228,2810,10,2810,,
RM33,2810,10,2810,,
RM34,2810,10,2810,,
SG27,2810,10,2810,,
FG233,2810,10,2810,,
SGPI001-V00,2810,10,2810,,
RMPI001,2810,10,2810,,
RMPI002,2810,10,2810,,
RMPI003,2810,10,2810,,
RMPI004,2810,10,2810,,
RMPI005,2810,10,2810,,
QM006,2810,10,2810,,
SDBOMERLAHD,2810,10,2810,,
SDBOMERLAIT01,2810,10,2810,,
SDBOMERLAIT02,2810,10,2810,,
