ISTAT,SPRAS,TXT04,TXT30
I1726,2,APCA,ยกเลิกการอนุมัติแล้ว
I1727,2,ARCV,แยกเก็บแล้ว
I1728,2,RSOS,จัดสรรตามบทบาทแบบขั้นตอนเดียว
I1729,2,RSPP,อยู่ระหว่างจัดเตรียมการจัดสรร
I1730,2,RSIP,อยู่ระหว่างการจัดสรรพนักงาน
I1731,2,RSFN,การจัดสรรพนักงานเสร็จสมบูรณ์
I1732,2,STAF,กำลังจัดสรร - โหมดแบบง่าย
I1733,2,TOAS,ที่จะกำหนด
I1734,2,ASSG,กำหนดแล้ว
I1735,2,PASS,กำหนดแล้วบางส่วน
I1771,2,1771,เสนอแล้ว
I1772,2,1772,ใช้งานได้
I1773,2,1773,พร้อมตรวจทาน
I1774,2,1774,ที่จะอนุมัติ
I1775,2,1775,ล่าช้า
I1776,2,1776,ถูกปฏิเสธ
I1777,2,ECNL,ถูกยกเลิกก่อนกำหนด
I1800,2,AM00,กำลังสร้าง
I1805,2,AM05,ที่จะแยกเก็บ
I1814,2,AM14,การดาวน์โหลดเสร็จสมบูรณ์
I2202,2,CLOC,ถูกล็อค
I8521,2,XR21,ถูกละทิ้ง
I8802,2,UPSV,เก็บบันทึกแล้ว
IU003,2,DFS,กำหนดแฟลกการลบแล้ว
IWA03,2,DFLS,กำหนดแฟลกการลบแล้ว
IWA04,2,DINS,กำหนดตัวบ่งชี้การลบแล้ว
I0994,2,SCSU,ระงับการกำหนดสัญญาแล้ว
I0995,2,SCSP,ระงับการกำหนดสัญญาแล้ว
I1736,2,PRTR,อนุมัติบางส่วน
I3010,2,UBBD,สัญญาใหม่
I3011,2,UBBC,สัญญาที่เปิดใช้งาน
I3012,2,TBCP,สิ้นสุดแล้วโดยกระบวนการปป.
I3013,2,TBCP,สิ้นสุดโดยกระบวนการเปลี่ยนแปลง
I3031,2,UTRM,ยกเลิกสัญญา
I3035,2,UTRT,สิ้นสุดสัญญา
I3046,2,USLA,การเปลี่ยนแปลง SLA
I3047,2,UCQT,การเปลี่ยนแปลงปริมาณ/ค่า
I8600,2,CLM,เคลมแล้ว
I8601,2,UMNT,อยู่ระหว่างการซ่อมบำรุง
I8602,2,RQST,ขอแล้ว
I8603,2,PLN,ตามแผน
IB002,5,IBDE,Oznaka brisanja
I0994,5,SCSU,Določitev pogodbe zadržana
I0995,5,SCSP,Določitev pogodbe zadržana
I3010,5,UBBD,Nova pogodba
I3011,5,UBBC,Aktivirana pogodba
I3012,5,UCHP,Končano s procesom spremembe
I3013,5,UCHQ,Dokončanje s procesom spremem.
I3031,5,UTRM,Pogodba končana
I3035,5,UTRT,Dokončanje pogodbe
I3046,5,USLA,SLA-sprememba
I3047,5,UCQT,Sprememba količine/vrednosti
I8600,5,CLM,Zahtevano
I8601,5,UMNT,V vzdrževanju
I8602,5,RQST,Zahtevano
I8603,5,DLM,Planirano
IDFS6,5,DFS6,Planirano
IDFS7,5,DFS7,Aktiviranje
IDFS8,5,DFS8,Deaktiviranje
I1063,8,CDEN,Позначено для архівації
I1801,8,AM01,В обробці
I0994,8,SCSU,Визначення контракту придушено
I0995,8,SCSP,Визначення контракту придушено
I8600,8,CLM,Запитано
I8601,8,UMNT,На техобслуговуванні
I8602,8,RQST,Запитано
I8603,8,PLN,Заплановано
IDFS6,8,DFS6,Заплановано
IDFS7,8,DFS7,Активувати
IDFS8,8,DFS8,Деактивувати
I1063,묩,CDEN,संग्रहण के लिए चिह्नित
I8600,묩,CLM,दावा किया गया
I8601,묩,UMNT,रखरखाव जारी है
I8602,묩,RQST,अनुरोधित
I8603,묩,PLN,नियोजित
ITM09,G,TCPL,Μεταφορά Ολοκληρώθηκε
ITM10,G,PMFX,Η Εκτέλεση Εχει Σταθ.Προγ/μό
ITM11,G,BOL,Φορτωτική
ITM12,G,ASGB,Φορτ.Αντιστοιχισμ.σε Φορτωτική
ITM13,G,ASGF,Φορτίο Αντιστ.σε Παραστ.Ναύλων
ITM14,G,CMPL,Μεταφορά Επεξεργασμένη Πλήρως
ITM21,G,WGTD,Ζυγισμένο Φορτίο
ITM22,G,FCC,Υπολογισμένο Κόστος Ναύλου
ITM31,G,PSHP,Προγ/σμένο Φορτίο
ITM32,G,FSHP,Τελικό Φορτίο
ITM33,G,FRD,Παραστατικό Ναύλου
IBI01,Q,BP01,Blokované pre uskladnenie
IBI02,Q,BP02,Blokované pre vyskladnenie
IBI03,Q,BI01,Blokované inventúrou
IBI04,Q,BII1,Inicializovať
IBI05,Q,BB01,Blokov.sektor.skl.
IDPD9,Q,DPD9,/
IDPI0,Q,DPI0,/
IDPI1,Q,DPI1,/
IDPI2,Q,DPI2,/
IDPI7,Q,DPI7,Prípr.mat.na odber s prebytkom
IDPS9,Q,DPS9,/
IDPI9,Q,DPI9,/
IDPS0,Q,DPS0,/
IDPS1,Q,DPS1,/
IDPS2,Q,DPS2,/
IDPT0,Q,DPT0,/
IDPT1,Q,DPT1,/
IDPT2,Q,DPT2,/
IDPT9,Q,DPT9,/
IDPX0,Q,DPX0,/
IDPX1,Q,DPX1,/
IDPX2,Q,DPX2,/
IDPX9,Q,DPX9,/
IDQC0,Q,DQC0,/
IDQC1,Q,DQC1,/
IDQC2,Q,DQC2,/
IDQC8,Q,DQD8,Zamietnuté
IDQC9,Q,DQC9,"Dokončené, OK"
IDQE0,Q,DQE0,/
IDQE1,Q,DQE1,/
IDQE2,Q,DQE2,/
IDQE9,Q,DQE9,/
IDQP0,Q,DQP0,/
IDQP1,Q,DQP1,/
IDQP2,Q,DQP2,/
IDQP9,Q,DQP9,/
IDQS0,Q,DQS0,/
IDQS1,Q,DQS1,/
IDQS2,Q,DQS2,/
IDQS9,Q,DQS9,/
IDRC0,Q,DRC0,/
IDRC1,Q,DRC1,/
IDRC9,Q,DRC9,/
IDRD0,Q,DRD0,/
IDRD1,Q,DRD1,/
IDRD4,Q,DRD4,Nenašlo sa
IDRD5,Q,DRD5,Zistené neplatné
IDRD6,Q,DRD6,Platné (manuál.)
IDRD9,Q,DRD9,Zistené platné
IDSD0,Q,DSD0,/
IDSD1,Q,DSD1,/
IDSD2,Q,DSD2,/
IDSD9,Q,DSD9,/
IDSH1,Q,DSH1,Nepripravené
IDSH9,Q,DSH9,Priprav.
IDSL0,Q,DSL0,/
IDSL1,Q,DSL1,/
IDSL6,Q,DSL6,"OK, manuálne"
IDSL8,Q,DSL8,Nie OK
IDSL9,Q,DSL9,"Skontrolované, OK"
IDSP0,Q,DSP0,/
IDSP1,Q,DSP1,/
IDSP2,Q,DSP2,/
IDSP9,Q,DSP9,/
IDSR-,Q,DSR-,/
IDSRX,Q,DSRX,/
IDST0,Q,DST0,/
IDST1,Q,DST1,/
IDST2,Q,DST2,/
IDST9,Q,DST9,/
I7DP5,J,D705,契約の無効スケジュール
I7F01,J,F701,ドラフト
I7F02,J,F702,無効
I7F03,J,F703,有効
I7L01,J,L701,一致可能
I7L02,J,L702,一致
I7L03,J,L703,一致取消済
I7P03,J,SCRL,リリース済
I7R01,J,R701,申請可能
I7R02,J,R702,転送申請伝票へのリンク
I7R03,J,R703,決済収益認識可能
I7R04,J,R704,最終決済待ち
I7R05,J,R705,返品申請完了
I7S01,J,S701,決済関連なし
I7S02,J,S702,決済可能
IDGS0,E,DGS0,/
I7S04,J,S704,最終決済済
I7S05,J,S705,決済取消済
I7S06,J,S706,仮決済取消済
I7S07,J,S707,最終決済取消済
I7S08,J,S708,収益認識済
I7S11,J,S711,保管決済関連なし
I7S12,J,S712,保管決済可能
I7S13,J,S713,中間保管決済済
I7S14,J,S714,最終保管決済済
I7S15,J,AT09,請求書取消済
I7S51,J,SNEW,決済登録済
I7S52,J,SEDT,決済編集
I7S53,J,SRLS,決済リリース済
I7S54,J,SAPO,決済承認済
I7S55,J,SAIH,決済保留請求書
I7S56,J,SINV,決済請求済
I0462,R,BGAU,Обработка приостановлена
I7S58,J,SCNC,決済取消済
I7S59,J,SBHI,ブラジル 決済保留請求書
I7S60,J,SACC,決済未払
I7S61,J,SICN,請求書取消済
I7TO1,J,T701,ドラフトスケジュール
I7TO2,J,T702,スケジュールリリース
I7TO3,J,T703,スケジュール無効化済
I7U01,J,U701,ドラフト
I7U02,J,U702,無効
I7U03,J,U703,部分リリース済
I7U04,1,U704,已审批
I7U05,J,U705,OF 決定トリガ済
I7U06,J,U706,OF 決定成功
I7U07,J,U707,OF 実行成功
I7U08,J,U708,OF 実行失敗
I7U09,J,UREV,取消済
I7U10,J,UORS,OE 取消成功
I7U11,J,UORF,OE 取消失敗
I7U12,J,UCIP,修正中
I7U13,J,U713,転用可能
I1005,D,ERLD,Erledigt
I7U15,J,U715,供給成功
I7U16,J,U716,供給失敗
I7U17,J,U717,供給取消失敗
I7W01,J,AWDR,ドラフト
I7W02,J,AWRE,リリース済
I7W03,J,AWCN,中止
I7W04,J,AWVD,無効化
I7A01,K,A701,Udkast
I1924,N,INEX,Wordt uitgevoerd
I1926,N,EXCO,Uitvoering afgesloten
I3351,N,PM02,Gecreëerd met Fiori-app F1511
I8401,N,SIMS,Abonnementssimulatie uitstaand
I8402,N,SIMC,Abonn.simulatie afgesloten
ICC14,N,CCLS,Geblokkeerd na afrekening
ICPE1,N,CPE1,Gecreëerd
ICPE2,N,CPE2,Foutief
ICPE3,N,CPE3,Vrij te geven
ICPE4,N,CPE4,Vrijgegeven
ICPE5,N,CPE5,Verouderd
ICPE6,N,CPE6,Afgekeurd
IDTD0,Q,DTD0,/
IDTD1,Q,DTD1,/
IEAM1,N,ORGV,Ordergoedkeuring vereist
IEAM2,N,ORGD,Order goedgekeurd
IEAM3,N,ORAG,Order afgewezen
IEAM4,N,ORIB,Ordergoedkeuring in bewerking
IEAM5,N,ORIP,Gereed voor inplanning
IEAM6,N,OHWG,"Order ""Hoofdwerk afgesloten"""
IEAMZ,N,EAMZ,Gereed voor planning afgebr.
IHS01,N,CRET,Gecreëerd
IHS02,N,TBRL,Vrij te geven
IHS03,N,CACD,Verouderd
IHS04,N,RLSD,Vrijgegeven
IHS05,N,RJCT,Afgewezen
IHS06,N,CLMP,Afgesloten
IHS07,N,SPSD,Vervangen
I3350,H,PM01,Fiori F2023 alk.-sal feldolg.
I5613,H,GMDR,Iniciális tervezet
I5616,H,GMAW,Odaítélés
IBI02,H,BP02,Kitárolás zárolva
IDTDF,Q,DTDF,Fixné
IDTDI,Q,DTDI,Čaká: Pripr.na sklad.proces
IDTDM,Q,DTDM,Fixované manuálne
IDTDP,Q,DTDP,Plánované
I0480,H,OLGe,Objektumlista generálva
I0481,H,ELGe,Ellenőrzőlisták generálva
I0482,H,N.EL,Nincsenek ellenőrzőlisták
I052R,H,TISz,További információ szükséges
I0575,H,APRI,Szerződés árazva
I1922,H,INPL,Tervezés alatt
I1924,H,INEX,Végrehajtás folyamatban
I1926,H,EXCO,A végrehajtás befejeződött
I3351,H,PM02,Létrehozva F1511 Fiori alk-sal
I8401,H,SIMS,Előfizetés-szimuláció függőben
I8402,H,SIMC,Előfizetés-szimuláció lezárva
ICC14,H,CCLS,Elszámolás után zárolva
ICPE1,H,CPE1,Létrehozott
ICPE2,H,CPE2,Hibás
ICPE3,H,CPE3,Engedélyezésre vár
ICPE4,H,CPE4,Engedélyezve
ICPE5,H,CPE5,Elavult
ICPE6,H,CPE6,Elutasítva
IDTDR,Q,DTDR,Fix.: Pripr.na sklad.proces
IDTL0,Q,DTL0,/
IEAM1,H,RJSz,Rendelés jóváhagyása szükséges
IEAM2,H,ReJH,Rendelés jóváhagyva
IEAM3,H,ReEu,Rendelés elutasítva
IEAM4,H,RJF,Rend. jóváhagyása folyamatban
IEAM5,H,RÜK,Ütemezésre kész
IEAM6,H,OMWC,Rendelés fő munkája kész
IEAMZ,H,EAMZ,Ütemezésre kész törölve
IHS01,H,CRET,Létrehozott
IHS02,H,TBRL,Engedélyezendő
IHS03,H,CACD,Elavult
IHS04,H,RLSD,Engedélyezve
IHS05,H,RJCT,Elutasítva
IHS06,H,CLMP,Befejeződött
IHS07,H,SPSD,Túlhaladva
I0860,L,PTZ,Przesunięcie terminu płatności
I0321,L,NPT,Ruch materiałowy zaksięgowany
I0353,L,SPR,Przetestowane
I0387,L,WDHA,Wymagana decyzja handlowa
I1813,L,AM13,Listy pytań przypisane
I1817,L,AM17,Podpis złożony
I1819,L,AM19,Czynności zakończone
I1824,L,AM24,Wycena przeprowadzona
I3350,L,PM01,Przetw.za pom.apl. Fiori F2023
I5613,L,GMDR,Wstępna wersja robocza
I5616,L,GMAW,Przyznanie
ICO10,L,Odb.,Odebrane
IDTL1,Q,DTL1,/
IDTL6,Q,DTL6,"OK, manuálne"
IDTL8,Q,DTL8,Nie OK
IDTL9,Q,DTL9,"Skontrolované, OK"
I0480,L,OLGE,Wygenerowano listę obiektów
I0482,L,CLNO,Nie znaleziono list kontr.
I052R,L,WDI,Wymagane dodatkowe informacje
I0481,L,CLGE,Wygenerowano listy kontrolne
I0575,L,APRI,Umowa wyceniona
I1922,L,INPL,W trakcie planowania
I1924,L,INEX,W trakcie wykonywania
I1926,L,EXCO,Wykonanie zakończone
I3351,L,PM02,Utw. za pom. apl. Fiori F1511
I8401,L,SIMS,Symulacja subskryp. oczekująca
I8402,L,SIMC,Symulacja subskrypcji zakończ.
ICC14,L,CCLS,Zablokowane po rozliczeniu
ICPE1,L,CPE1,Utworzone
ICPE2,L,CPE2,Nieprawidłowe
ICPE3,L,CPE3,Do zatwierdzenia
ICPE4,L,CPE4,Zatwierdzone
ICPE5,L,CPE5,Nieaktualne
ICPE6,L,CPE6,Odrzucone
IDTR1,Q,DTR1,V tranzite
IDTR3,Q,DTR3,Registr.v park.priest.
IEAM1,L,WZZ,Wymagane zatwierdz. zlecenia
IEAM2,L,ZZ,Zatwierdzono zlecenie
IEAM3,L,OZ,Odrzucono zlecenie
IEAM4,L,ZZWT,Zatwierdzenie zlecenia w toku
IEAM5,L,ORSC,Gotowe do planowania
IEAM6,L,ZGPZ,Zakończ. gł. prace dot. zlec.
IEAMZ,L,EAMZ,Anulowano gotowość do planow.
IHS01,L,CRET,Utworzone
IHS02,L,TBRL,Do zatwierdzenia
IHS03,L,CACD,Nieaktualne
IHS04,L,RLSD,Zatwierdzone
IHS05,L,RJCT,Odrzucono
IHS06,L,CLMP,Zakończone
IHS07,L,SPSD,Zastąpione
I0065,3,MDLK,마스터 데이터 잠김
I0107,3,PRST,처리 시작됨
I0131,3,UNOC,미점유
I0165,3,Cstd,원가계산됨
I0198,3,KPST,취소됨
I0442,3,RE,릴리스됨
I0522,3,PSTD,출고 전기됨
I0600,3,RE,릴리스됨
I0002,Y,REL,Izlaists
I0002,c,LLIU,Alliberat
I0003,J,MSCP,能力不足
I0009,J,CNF,確認済
I0050,J,STND,標準確認
I0054,J,MSCP,能力不足
I0117,J,DSPT,計画済
I0119,J,ACTV,有効
I0126,J,CANC,中止
I0161,J,NOTE,通知(外部)
I0098,Y,CRTE,Izveidots
I0189,J,EINS,レビュー中
I0195,J,KPBE,処理中
I0197,J,KPAB,完了
I0198,J,KPST,取消
I0199,J,KPLK,削除フラグ
I0225,J,ARBL,アーカイブのためブロック済
I0239,J,NOCP,構成品目なし
I0241,J,CRCR,制御レシピ登録済
I0244,J,分割,分割
I0246,J,ASGN,割当済
I0247,J,PTAS,部分割当済
I0253,J,ECRA,ECR 承認
I0290,J,CLQM,短期分類
I0302,J,ZUOD,割当済
I0303,J,REJT,ECR 拒否
I0330,J,GBST,確認済
I0334,J,BRFL,期限終了
I0354,J,FAPP,要承認
I0386,J,REPA,修正済
I0403,J,ITG,初期ステータス
I0417,J,CONF,不一致
I0485,J,NMAT,構成品目なし
I0486,J,SPLT,分割
I0500,J,QUOT,構成品目なし
I0512,J,WHSE,倉庫内
I0513,J,PLND,計画済
I0514,J,LOAD,積載済
I0522,J,PSTD,出庫転記済
I0523,J,DLTD,削除済
I0553,J,AVER,契約
I0554,J,AKUE,通知
I1063,J,CDEN,アーカイブフラグ設定済
I1104,J,PARC,アーカイブ対象
I1105,J,INAC,無効
I2131,J,EPLA,計画済
I2132,J,EAPP,依頼済
I2133,J,EREL,品目オーナーによりリリース済
I2134,J,EAPR,承認済
I2135,J,ELOC,ロック済
I2136,J,EDLP,削除対象
I2142,J,FAPP,依頼済
I2200,J,CNEW,処理中
I2203,J,CINC,不整合
I2551,J,CUAS,割当済
I2561,J,CUCM,完了
I3907,J,RESM,通知済
I6000,J,Rcp0,処理中
I6001,J,Rcp1,処理完了
I6005,J,Rcp5,無効
I7102,J,CLOS,完了
I7201,J,NEW,新規
I7202,J,有効,有効
I7204,J,確認,確認対象
I7205,J,終了,完了
I7301,J,ACCE,ECR 承認
I7302,J,REVI,ECR 拒否
I8028,J,COMP,完了
I8030,J,INPC,処理中
I8501,J,XR01,処理中
I8506,J,XR06,アーカイブフラグ設定済
I8507,J,XR07,アーカイブ済
I8521,J,XR21,拒否済
I8805,J,UPRC,受信済
I8828,J,LOST,積載開始済
I8830,J,LOCM,積載完了
I8831,J,ULST,荷渡開始済
I8904,J,有効,有効
I8906,J,無効,無効
IADC1,J,ADC1,無効
IADC2,J,ADC2,有効
IADH0,J,ADH0,初期値
IADH3,J,ADH3,有効
IADH9,J,ADH9,削除済
IADHB,J,ADHB,取消
IADR0,J,ADR0,初期値
IADR2,J,ADR2,割当済
IB001,J,INIT,初期ステータス
IB002,J,IBDE,削除フラグ
IB003,J,IBIN,無効化
IB004,J,IB04,可用性
IB005,J,IB05,可用性
ICL02,J,CL02,終了
ICL04,J,CL04,有効
ICO09,J,完了,完了
ICO10,J,受信,受信済
ICO14,J,ivld,無効化
IDTU0,Q,DTU0,/
IDTU1,Q,DTU1,/
IDTU2,Q,DTU2,/
IDTU9,Q,DTU9,/
IDUD0,Q,DUD0,/
IDUD1,Q,DUD1,/
IDUD2,Q,DUD2,/
IDUD9,Q,DUD9,/
IDUN0,Q,DUN0,/
IDUN1,Q,DUN1,/
IDUN2,Q,DUN2,/
IDUN9,Q,DUN9,/
IDVA1,Q,DVA1,/
IDVA4,Q,DVA4,S chybami
IDVA5,Q,DVA5,Zamietnuté
IDVA9,Q,DVA9,/
IDVEA,Q,DVEA,Aktívne
IDVED,Q,DVED,Neaktívne
IDVEN,Q,DVEN,Aktívne (exist.neaktív.ver.)
IDVQ2,Q,DVQ2,/
IDVQ0,Q,DVQ0,/
IDVQ1,Q,DVQ1,/
IDVQ9,Q,DVQ9,/
IDWA0,Q,DWA0,/
IDWA1,Q,DWA1,/
IDWA2,Q,DWA2,/
IDWA9,Q,DWA9,/
IDWB-,Q,DWB-,/
IDWBX,Q,DWBX,/
IDWC-,Q,DWC-,/
IHUCO,J,COMP,完了
IHUIV,J,INIV,在庫あり
ILB00,J,INPR,処理中
ILB10,J,PRCP,処理完了
IP012,J,AMEN,修正済
IP015,J,INP,処理中
IP016,J,AUD,レビュー中
IP017,J,DRAF,保留
IP021,J,TAPP,要承認
IP025,J,BLOC,保留
ISR04,J,BU,荷渡開始済
ISR07,J,LS,積載開始済
ISR09,J,LC,積載完了
ISR32,J,AARC,アーカイブ済
ISR35,J,NC,不整合
ITM04,J,TEND,輸送完了
ITM09,J,TCPL,輸送完了
IU001,J,OINA,無効
IU002,J,OACT,有効
IU004,J,割当,割当済
IWA37,J,WVAB,完了
I5500,J,CLCR,Claim Created
I5501,J,ACCR,Contract Lock Requested
I5502,J,ACCC,Contract Lock Set
I5503,J,UCCR,Removal of Contr.Lock Requestd
I5504,J,UCCC,Contract Lock Removed
I5505,J,COCH,Compensability Checked
I5506,J,BEDE,Benefit Determined
I5507,J,FORE,Fund Order Requested
I5508,J,FOCO,Fund Order Confirmed
I5509,J,BECP,Contr. Reengineering Scheduled
I5510,J,BCRE,Contr. Reengineering Requested
I5511,J,BCCO,Contr. Reengineering Confirmed
I5512,J,BCCR,Undo Contr.Reengineer.Requestd
I5513,J,BCCC,Undo Contr.Reengineer.Confirmd
I5514,J,CLCL,Claim Closed
I5515,J,CLRE,Claim Rejected
I5516,J,CLLR,Do Not Lock Contract Automat.
I5517,J,CTRR,Contr.Reactivation Requested
I5518,J,CTRC,Contr.Reactivation Confirmed
I5519,J,CLRV,Claim Reversed
I5520,J,FOSR,Fund Order Reversal Requested
I5521,J,FOSC,Fund Order Reversal Confirmed
I0098,c,CREA,Creat
I0101,J,EHIS,日付順登録済
I0102,J,SETM,振替規則マニュアル登録済
I0103,J,SCNF,要約確認実行済
I0104,J,SUST,段取開始
I0105,J,SUIR,段取割込み
I0106,J,SUFN,段取終了
I0107,J,PRST,処理開始
I0108,J,PRIR,処理割込み
I0109,J,PRFN,処理終了
I0110,J,TDST,片付開始
I0111,J,TDIR,片付け割込み
I0112,J,TDFN,片付終了
I0113,J,COMO,対象の構成品目
I0114,J,PRTO,対象用 PRT
I0115,J,CSER,原価計算のエラー
I0118,J,NTUP,日付が未更新
I0120,J,RACR,レンタル契約登録済
I0121,J,ACLO,有効リースアウト
I0122,J,NOLO,リースアウトなし
I0123,J,RESI,住居賃貸契約
I0124,J,COMM,商業用契約
I0125,J,COPA,売買仮契約
I0127,J,RTAP,レンタル調整計画済
I0128,J,THRD,サードパーティーが使用
I0130,J,PROP,個人使用
I0131,J,UNOC,未使用
I0132,J,RENT,レンタル用
I0133,J,CRES,登録済(標準 WBS)
I0134,J,RELS,承認済(標準 WBS)
I0135,J,CLOS,完了済(標準 WBS)
I0136,J,GRFL,入庫仕損
I0137,J,IFSL,販売向け
I0139,J,PURI,購買向け
I0140,J,PURC,購買済
I0141,J,PSLD,一部売約済
I0142,J,DEMO,取り壊し
I0143,J,PDEM,一部損壊
I0144,J,ERUI,支払損
I0145,J,PECR,一部支払損
I0146,J,POCR,変更印刷要求済
I0147,J,BTRD,トランザクションデータブロック
I0148,J,DIVI,分割宣言
I0149,J,PDIV,一部区分宣言
I0150,J,INMD,品質検査済
I0151,J,SECD,保証金支払済
I0152,J,IFPF,ポートフォリオ向け
I0153,J,PORT,ポートフォリオ内
I0154,J,TSOS,タスク未処理
I0157,J,TSSC,タスク正常終了
I0158,J,OSTS,未処理タスクあり
I0159,J,ATCO,全タスク完了
I0160,J,NOT1,通知(内部)
I0162,J,DEFR,不良記録
I0163,J,AUC,建設中資産あり
I0164,J,Cost,要原価計算
I0165,J,Cstd,原価計算済
I0166,J,FUAC,フォローアップアクション完了
I0167,J,ARNB,アーカイブによる保留通知
I0170,J,ORD,受注伝票から登録済
I0171,J,SHPT,出荷伝票から登録済
I0175,J,PREP,準備済
I0177,J,NTWP,ワークセンタデータ非考慮
I0181,J,CRAB,無効制御レシピ
I0182,J,ILNC,品質検査ロット未登録
I0183,J,AUSS,廃棄設定済
I0185,J,SLOR,受注で割当済
I0098,d,KRNO,Kreirano
I0187,J,ESER,サービス契約で割当済
I0098,묩,CRTE,निर्मित
I0191,J,ETRA,移送
I0192,J,EAUS,倉庫より
I0098,뱋,ЖАС.,Жасалды
I0098,쁩,CRTE,Đã tạo
I0200,J,PAOR,確認なしの品質検査完了
I0201,J,PREQ,計画/詳細必須
I0202,J,CHCR,特性登録必須
I0203,J,SPRQ,数量記帳必須
I0204,J,LTIN,長期検査
I0205,J,PASG,計画/規格割当済
I0206,J,CCTD,登録済品質検査特性
I0207,J,CALC,計算済サンプル
I0208,J,QLCH,品質レベル関連
I0209,J,SKIP,スキップロット
I0210,J,PRSI,印刷済サンプル抜取指示
I0211,J,PRII,印刷済品質検査指図
I0212,J,INSP,有効品質検査
I0213,J,RREC,確認済結果
I0214,J,DEF,不良記録済
I0215,J,SSAP,登録済オブジェクト
I0216,J,STIC,短期検査完了
I0217,J,ICCO,全品質検査完了
I0218,J,UD,使用決定済
I0219,J,SPST,在庫記帳開始
I0220,J,SPCO,在庫転記完了
I0221,J,STUP,統計更新済
I0222,J,QLUP,品質レベル更新済
I0223,J,IRUP,品質情報レコード更新済
I0224,J,LTCA,ロット取消済
I0226,J,ARCH,ロットアーカイブ済
I0227,J,REO3,削除済ロット詳細データ
I0228,J,REO2,削除済ロットサンプルデータ
I0229,J,REO1,削除済特性 + 操作
I0230,J,SUB,サブシステムに転送
I0231,J,IRCH,変更済品質情報レコード
I0232,J,MCAN,設定済ロット取消フラグ
I0233,J,MSUB,サブシステム用フラグ設定済
I0234,J,MtoO,受注生産
I0235,J,NoMP,受注生産なし
I0236,J,HCNF,確認済指図ヘッダ
I0237,J,CPIS,確認通知発行済構成要素
I0240,J,NOTR,トリガポイントなし
I0242,J,NCHK,未確認
I0243,J,NSCH,未スケジュール(予測日)
I0245,J,PSPL,部分分割済
I0248,J,PTDS,部分差立済
I0249,J,ERTR,転送所要量登録エラー
I0250,J,ITAA,明細勘定設定コード
I0251,J,CECR,ECR チェック
I0252,J,CHKD,ECR 確認済
I0254,J,ECOP,要処理の ECO
I0255,J,ECPC,部分確認済の ECO
I0256,J,ECCF,ECO 確認済
I0257,J,ECCM,ECO 完了済
I0258,J,ECOR,ECO 発行済
I0259,J,ECIR,対象: 対 ECR 品質検査依頼
I0260,J,CCO1,対象: 変更可能
I1810,L,AM10,Znacznik usuwania
I1811,L,AM11,Anulowane
I1814,L,AM14,Zapis do pliku wykon.
I1815,L,AM15,Potwierdzone
I1820,L,AM20,Zakończone z otw. czynnościami
I1822,L,AM22,Otwarte
I1823,L,AM23,Zakończone przymusowo
I1827,L,AM26,Częściowy podpis d. zakończ.
I1830,L,AM30,Usunięte
I1906,L,SDVC,Wersja zmienialna do kontroli
I1907,L,SDVY,Wersja skontrolowana - OK
I1908,L,SDVN,Wersja skontrolow.-nieprawidł.
I2103,L,RELE,Zatw. przez os. odpow. za mat.
I2106,L,DELP,Przew. do usunięcia
I2107,L,DELA,Żądane usunięcie
I2123,L,DREL,Zatw. przez os. odpow. za mat.
I2126,L,DDLP,Przew. do usunięcia
I2127,L,DDLA,Żądane usunięcie
I2133,L,EREL,Zatw. przez os. odpow. za mat.
I2136,L,EDLP,Przew. do usunięcia
I2137,L,EDLA,Żądane usunięcie
I2141,L,FPLA,Zaplanowany
I2143,L,FREL,Zatw. przez os. odpow. za mat.
I2146,L,FDLP,Przew. do usunięcia
I2147,L,FDLA,Żądane usunięcie
I2161,L,HPLA,Zaplanowany
I2165,L,HACT,Aktywny
I2205,L,ARCV,Do archiwizacji
I2550,L,InEP,Utworzono instancję EP
I2551,L,Prz.,Przypisane
I2552,L,EPPl,Ukończone wg planu
I2553,L,EPOd,Ukończone z odchyleniami
I2554,L,EPPr,Wykonanie przerwane
I2555,L,EPWz,Wzorzec
I2559,L,PPWc,Wycenione
I2562,L,EPCZ,EP częściowo potwierdzony
I2563,L,EPPt,EP potwierdzony
I3333,L,ZKol,Z kol. wpisu
I3902,L,DISP,Zaharmonogramowane
I3903,L,GELD,Usunięte (kontroler MRP)
I3904,L,STOD,Wystornowany kontroler MRP
I3905,L,GELA,Usunięty (zlecający)
I3906,L,STAN,Anulowany (zlecający)
I3908,L,ABGH,Wydano pojazd
I3910,L,AUFE,Zlecenie utworzone
I4444,L,ZNSH,Z nowej struktury historii
I0099,Q,VDIS,Voľne k dispozícii
I4446,L,UGR,Uproszcz. Gospodarka remontowa
I0099,R,ДОСТ,Доступно
I5614,L,GMPR,Propozycja
I5615,L,GMAP,Aplikacja
I5617,L,GMCL,Zamknięcie
I5618,L,GMCX,Zamknięte
I7103,L,DIST,Do rozdziału
I7201,L,NEW,Nowe
I7202,L,ACT,Aktywny
I7204,L,CHK,Do kontroli
I7300,L,NEWR,Wn. o zmianę możl. do przetw.
I7301,L,ACCE,Wniosek o zmianę zatwierdzony
I7302,L,REVI,Wniosek o zmianę odrzucony
I7303,L,CLOR,Zamknięty wniosek o zmianę
I8002,L,CGAT,Zmienione po postoju remont.
I8006,L,DELD,Usun. podczas postoju remont.
