MANDT,SPRAS,MSEHI,MSEH3,MSEH6,MSEHT,MSEHL
400,Y,ltb,mtb,m/t.b.,m./t.bar.,ASV mārciņa/1000 ASV barelu
400,X,ltb,ltb,lb/Tbl,lb/Tbbl,JAV svarai/1 000 JAV barelių
400,묩,ltf,ltf,lb/Tf3,lb/Tft3,US पाउंड/1000 घन फीट
400,Y,ltf,mtp,lb/Tf3,m./t.k.p.,ASV mārciņas/1000 kubikpēdu
400,X,ltf,ltf,lb/Tf3,lb/Tft3,JAV svarai/1 000 kub. pėdų
400,묩,ltg,ltg,lb/Tgl,lb/Tgal,US पाउंड/हजार US गैलन
400,Y,ltg,mtg,m/t.g.,m./t.gal.,ASV mārciņas/1000 ASV galonu
400,X,ltg,ltg,lb/Tgl,lb/Tgal,JAV svarai/tūkst. JAV galonų
400,묩,lth,lth,lb/TH,lb/THph,US पाउंड/1000 हार्सपावर-घंटे
400,Y,lth,mtz,m/t.z.,m./t.z.sp.,ASV mārciņas/1000 zirgsp. h.
400,X,lth,lth,lb/TH,lb/THph,JAV svarai/1 000 AG val.
400,묩,mGJ,mGJ,mg/GJ,mg/GJ,मिलीग्राम/Gigajoule
400,Y,mGJ,mGJ,mg/GJ,mg/GJ,Miligrams/gigadžouls
400,X,mGJ,mGJ,mg/GJ,mg/GJ,Miligramų/gigadžaulyje
400,묩,mHg,mHg,mmHg,mmHg,पारा मिलीमीटर में
400,Y,mHg,mHg,mmHg,mmHg,Dzīvsudraba stabiņa milimetri
400,X,mHg,mHg,mmHg,mmHg,Gyvsidabrio milimetrai
400,Y,mbb,mbb,MB/bbl,M. BSV/bbl,Miljons BSV/ASV barels
400,X,mbb,mBB,mlB/BB,mlBTU/BBL,Milijonas BTU JAV svarui
400,묩,mbg,mbg,MB/gal,MMBtu/gal,मिलियन BTU/US गैलन
400,Y,mbg,mbg,MB/gal,M.BSV/gal.,Miljons BSV/ASV galons
400,X,mbg,mbg,MB/gal,MMBtu/gal,Milijonas BTU JAV galone
400,묩,mbk,mbk,MB/kg,MMBtu/kg,मिलियन BTU/किलोग्राम
400,Y,mbk,mbk,M.B/kg,M. BSV/kg,Miljons BSV/kilograms
400,X,mbk,mbk,MB/kg,MMBtu/kg,Milijonas BTU kilograme
400,묩,mbl,mbl,MB/lb,MMBTU/lb,मिलियन BTU/पाउंड
400,Y,mbl,mbl,MB/m.,MMBtu/m.,Miljons BTU/mārciņa
400,X,mbl,mbl,MB/lb,MMBtu/sv.,Mln. BŠV svarui
400,Y,mbm,mbm,MB/Msk,M.BSV/msk,Milj. BSV/milj. st. kubikpēdas
400,X,mbm,mbm,MB/Msc,MMBtu/Mscf,MMBtu/mln. stand. kub. pėdų
400,묩,mbs,mbs,MB/scf,MMBtu/scf,मिलियन BTU/मानक घन फीट
400,Y,mbs,mbs,MB/skp,M.BSV/st.k,Milj. BSV/stand. kubikpēda
400,X,mbs,mbs,MB/scf,MMBtu/scf,Mil. BTU stand. kubinėje pėd.
400,묩,mbt,mbt,MB/ton,MMBtu/ton,मिलियन BTU/US टन
400,Y,mbt,mbt,MBSV/t,Mlj BSV/t,Miljons BSV/ASV tonna
400,X,mbt,MBT,mMB/T,mlBTU/ton,Milijonas BTU JAV tonai
400,Y,mjm,mjm,MJ/m3,MJ/m3,Megadžouli/kubikmetrs
400,X,mjm,mjm,MJ/m3,MJ/m3,Megadžauliai kubiniame metre
400,묩,mkG,µGJ,µg/GJ,µg/GJ,माइक्रोग्राम/Gigajoule
400,Y,mkG,uGJ,mcg/GJ,mcg/GJ,Mikrograms/gigadžouls
400,X,mkG,µGJ,mkg/GJ,mkg/GJ,Mikrogramų/gigadžaulyje
400,묩,mmB,mmB,mmBtu,मिलियन BTU,मिलियन ब्रिटिश थर्मल इकाइयां
400,Y,mmB,mmB,mmBSV,Milj. BTU,Miljons britu siltuma vienību
400,X,mmB,mmB,mmBtu,Mln. BŠV,Mln. britų šilumos vienetų
400,Y,nGJ,nGJ,ng/GJ,ng/GJ,Nanograms/gigadžouls
400,X,nGJ,nGJ,ng/GJ,ng/GJ,Nanogramų/gigadžauliui
400,Y,nQ,nGk,ng/m3,ng/m3,Nanograms/kubikmetrs
400,X,nQ,nGK,ng/m3,ng/m3,Nanogramas/kubiniame metre
400,묩,pQ,pGQ,pg/m3,pg/m3,पिकोग्राम/क्यूबिक मीटर
400,Y,pQ,pGk,pg/m3,pg/m3,Pikograms/kubikmetrs
400,X,pQ,pGQ,pg/m3,pg/m3,Pikogramų/kubiniame metre
400,Y,sM3,sM3,sp./m3,Sporas/m3,Sporas/kubikmetrs
400,X,sM3,sM3,sp/m3,Sporų/m3,Sporų/kubiniame metre
400,묩,sMb,sMb,scf/Mb,scf/MMbbl,मानक घन फीट/मिलियन US बैरेल
400,Y,sMb,sMb,skp/mb,skp/m.bar.,Stand.kubikp./milj. ASV barelu
400,X,sMb,sMb,scf/Mb,scf/MMbbl,Stand. kub. pėdų/mil.JAV bar.
400,묩,scf,scf,SCF,SCF,मानक घन फुट
400,Y,scf,skp,SCF,SCF,Standarta kubikpēda
400,X,scf,scf,Scf,SCF,Standartinė kubinė pėda
400,묩,sch,sch,scf/h,scf/h,मानक घन फूट/घंटा
400,Y,sch,skh,s.kp/h,st.k.p./h,Standarta kubikpēda/stunda
400,X,sch,sch,scf/h,scf/h,Stand. kubinių pėdų per val.
400,묩,scy,scy,scf/y,scf/y,मानक घन फीट/वर्ष
400,Y,scy,skg,s.kp/g,st.kub.p/g,Standarta kubikpēda/gads
400,X,scy,scy,skp/m,skp/m,Stand. kubinių pėdų per metus
400,묩,tJH,TYr,टन/वर.,टन/वर्ष,US टन/वर्ष
400,Y,tJH,t/g,t/gads,Tonna/gads,ASV tonnas/gads
400,X,tJH,tpA,ton/m.,t/metus,JAV tonų per metus
400,묩,tMb,tMb,t/MMbb,t/MMbbl,टन/मिलियन US बैरल
400,Y,tMb,tMb,t/M.b,t/m.ASV b.,Tonna/miljons ASV barelu
400,X,tMb,tMb,t/MMbb,t/MMbbl,Tonos milijone JAV barelių
400,묩,tMs,tMs,t/Mscf,t/Mscf,टन/मिलियन मानक घन फीट
400,Y,tMs,tMs,t/mskp,t/mskp,Tonna/milj. stand. kubikpēdu
400,X,tMs,tMs,t/Mscf,t/Mscf,Tonų mil. stand. kubinių pėdų
400,묩,tbl,tbl,t/bbl,t/bbl,टन / US बैरल
400,Y,tbl,tbl,t/bbl,tonna/bbl,Tonna/ASV barels
400,X,tbl,TBL,T/BBL,T/BBL,Tona/JAV bareliui
400,묩,tbt,tbt,t/Btu,t/Btu,टन/ब्रिटिश तापीय इकाई
400,Y,tbt,tBS,t/BSV,Tonna/BSV,Tonna/britu siltuma mērvienība
400,X,tbt,TBT,T/BTU,T/BTU,Tona/Britų šilumos vienetas
400,묩,tgl,tgl,ton/gl,ton/gal,US टन / US गैलन
400,Y,tgl,tgl,t/gal,Tonna/gal,ASV tonna/ASV galons
400,X,tgl,Tgl,T/gal,Tona/gal.,JAV tona JAV galonui
400,Y,thm,Ter,Terma,Terma,Terma (EK)
400,X,thm,thm,Termo,Termo,Termo (EC)
400,묩,tjl,tjl,टन/जूल,टन/जूल,टन/जूल
400,Y,tjl,t/J,t/J,t/džouls,Tonna/džouls
400,X,tjl,TJ,Tona/J,Tona/J,Tona džauliui
400,묩,tm3,tm3,t/tm3,टन/1000घमी,टन/1000 घन मीटर
400,Y,tm3,tm3,t/t.m3,t/1000 m3,Tonna/1000 kubikmetri
400,X,tm3,Tm3,T/Tm3,T/1000 m3,Tona 1000 kubinių metrų
400,묩,tmt,T/M,टन/माह,टन/माह,US टन/माह
400,Y,tmt,t/M,t/mēn.,tonna/mēn.,ASV tonnas/mēnesis
400,X,tmt,tMO,t/mėn.,t/mėnesį,JAV tonos per mėn.
400,묩,toS,tph,टन/घं.,टन/घंटा,US टन/घंटा
400,Y,toS,t/h,ton./h,tonna/h,ASV tonnas/stunda
400,X,toS,tpv,t/val.,t/val.,JAV tonos per val.
400,묩,tot,tot,टन/टन,टन/टन,US टन/US टन
400,Y,tot,tot,t/ton.,tonna/t,ASV tonna/ASV tonna
400,X,tot,tot,to/ton,ton/ton,JAV tonų/JAV tonoje
400,묩,tt,tt,t/t,टन / टन,टन/टन
400,Y,tt,t/t,t/t,t/t,Tonna/tonna
400,X,tt,TT,T/T,T/T,Tona tonai
400,묩,ttj,ttj,t/TJ,टन/टेराजूल,टन / टेराजूल
400,Y,ttj,tTJ,t/TJ,t/TJ,Tonna/teradžouls
400,X,ttj,TTJ,T/TJ,T/TJ,Tona teradžauliui
400,묩,GGL,GGL,g/gal,g/gal,ग्राम/US गैलन
400,Y,GGL,GGL,g/gal,g/gal,Grams uz ASV galonu
400,X,GGL,GGL,g/gal,g/gal,Gramai/JAV galone
400,묩,GKH,GKH,g/KWh,g/KWh,ग्राम/किलोवाट घंटा
400,Y,GKH,GKH,g/KWh,g/KWh,Grams uz kilovatstundu
400,X,GKH,GKH,g/KWh,g/KWh,Gramai/kilovatvalandėje
400,묩,GMB,GMB,g/MMBt,g/MMBt,ग्राम/मिलियन BTU
400,Y,GMB,GMB,g/MMBt,g/MMBt,Grams uz miljonu BTU
400,X,GMB,GMB,g/MMBt,g/MMBt,Gramai/milijone BTU
400,묩,GUT,GUT,g/ton,g/ton,ग्राम/US टन
400,Y,GUT,GUT,g/ton,g/ton,Grams uz ASV tonnu
400,X,GUT,GUT,g/ton,g/ton,Gramai/JAV tonoje
400,묩,gml,GML,g/माइल,g/माइल,ग्राम/माइल
400,Y,gml,GML,g./j.,g/jūdze,Grams uz jūdzi
400,X,gml,GML,g/myl.,g/myl.,Gramai/mylioje
400,묩,grh,GRH,g/h,g/h,ग्राम/घंटा
400,Y,grh,GRH,g/h,g/h,Grams/stundā
400,X,grh,GPV,gr./vl,gr./val.,gram./val.
400,Y,kgl,KGL,kg/j.,kg/jūdze,Kilograms uz jūdzi
400,X,kgl,KGL,kg/myl,kg/mylioje,Kilogramai/mylioje
400,Y,kmt,KMT,kg/m,kg/m,Kilograms uz metru
400,X,kmt,KMT,kg/m,kg/m,Kilogramao/metre
400,Y,11,026,NED.,Nedēļa,Nedēļa
400,X,11,026,SAVAIČ,Savaitė,Savaitė
400,묩,12,025,म.,म.,म.
400,Y,12,025,MĒN,Mēnesis,Mēnesis
400,X,12,025,MĖN.,Mėnuo,Mėnuo
400,Y,13,024,GADS,Gads,Gads
400,X,13,024,METAI,Metai,Metai
400,묩,14,स.,WEEK,सप्ताह,सप्ताह
400,Y,14,N.,NEDĒĻA,Nedēļa,Nedēļa
400,X,14,SAV,SAV.,Savaitė,Savaitė
400,Y,15,DEC,Dekāde,Dekāde,Dekāde
400,X,15,DEK,Dekada,Dekada,Dekada
400,쁩,%,%,%,%,Phần trăm
400,뱋,%,%,%,%,Пайыз
400,쁩,%O,%O,%O,%0,Mỗi dặm
400,뱋,%O,%O,%O,%0,Промилле
400,쁩,1,ONE,One,One,One
400,뱋,1,БІР,Бір,Бір,Бір
400,묩,1,एक,एक,एक,एक
400,쁩,10,D,d,Số ngày,Ngày
400,뱋,10,К,күн,Күндер,Күндер
400,쁩,4O,µF,µF,µF,Micro fara
400,뱋,4O,МКР,МФ,МФ,Микрофарад
400,쁩,4T,PF,pF,pF,Piko fara
400,뱋,4T,ПКФ,пФ,пФ,Пикофарад
400,쁩,A,A,A,A,Ampe
400,뱋,A,А,A,A,Ампер
400,묩,A,A,A,एम्पियर,ऐम्पियर
400,쁩,A87,GOH,GOhm,GOhm,Gigaohm
400,뱋,A87,ГОМ,ГОм,ГОм,Гигаом
400,묩,A87,GOH,गिगाओम,गिगाओम,गिगाओम
400,쁩,A93,GM3,g/m3,g/m3,Gam/Mét khối
400,뱋,A93,ГМ3,г/м3,г/м3,Грамм/текше метр
400,쁩,ACR,ACR,acre,Acre,Acre
400,뱋,ACR,АКР,акр,Акр,Акр
400,묩,ACR,एकड,एकड़,एकड़,एकड़
400,쁩,B34,KD3,kg/dm3,kg/dm3,Kilogram/đề xi mét khối
400,뱋,B34,КД3,кг/дм3,кг/дм3,Килограмм/текше дециметр
400,묩,B34,KD3,kg/dm3,kg/dm3,किलोग्राम/घन डेसीमीटर
400,쁩,B45,KML,kmol,kmol,Kilomol
400,뱋,B45,КМЛ,кмл,кмл,Киломоль
400,묩,B45,KML,कि.मो.,किलोमोल,किलोमोल
400,쁩,B47,NI,ND,ND,Kilonewton
400,뱋,B47,КН,кН,кН,Килоньютон
400,묩,B47,NI,ND,ND,किलोन्यूटन
400,쁩,B73,MN,MN,MN,Meganewton
400,뱋,B73,МН,мН,мН,Меганьютон
400,묩,B73,MN,MN,MN,मेगान्यूटन
400,쁩,B75,MGO,M. ôm,M. ôm,Mega ôm
400,뱋,B75,МГО,МОм,МОм,Мегаом
400,묩,B75,MGO,मेगाओम,मेगाओम,मेगाओम
400,쁩,B78,MHV,MV,MV,Megavolt
400,뱋,B78,МЗП,МВ,МВ,Магавольт
400,묩,B78,MHV,MV,मेगावोल्ट,मेगावोल्ट
400,1,10,D,d,天,天
400,쁩,22S,22S,mm2/s,mm2/s,Milimet vuông/giây
400,뱋,22S,22с,мм2/с,мм2/с,Шаршы миллиметр/секунд
400,묩,22S,22S,mm2/s,mm2/s,वर्ग मिलीमीटर/सेकंड
400,쁩,2M,CMS,cm/s,cm/s,centimet/giây
400,뱋,2M,СМС,см/сек,см/сек,Сантиметр/секунд
400,묩,2M,CMS,cm/s,सेमी/से.,सेंटीमीटर/सेकंड
400,쁩,2X,MMI,m/min,m/min,mét/phút
400,뱋,2X,ММИ,м/мин.,м/минут,Метр/Минут
400,쁩,4G,µL,µl,µl,Micro lít
400,뱋,4G,МЛТ,Мкл,Мкл,Микролитр
400,쁩,B84,µA,µA,µA,Microampere
400,뱋,B84,МАМ,МАм,МАм,Микроампер
400,쁩,BAG,BAG,Túi,Túi,Túi
400,뱋,BAG,БУМ,Бума,Бума,Бума
400,1,BAG,BAG,袋,袋,袋
400,쁩,BAR,TH.,thanh,thanh,thanh
400,뱋,BAR,БАР,бар,бар,бар
400,쁩,BB6,BB6,BB6,Thùng 60F,Thùng 60°F
400,뱋,BB6,ББ6,ББ6,Баррель60F,Баррель 60°F
400,쁩,BBL,BBL,BBL,Thùng,Thùng rượu
400,뱋,BBL,ББЛ,ББЛ,Баррель,Баррель
400,1,BBL,BBL,BBL,桶,桶
400,쁩,BC1,BC1,BC1,BTUCF1502D,"BTU/Foot khối ở 15,025/60/SD"
400,뱋,BC1,БТ1,БТ1,БЖБТФ1502D,БЖБ/текше фут (15.025/60/SD)
400,묩,BC1,BC1,BC1,BTUCF1502D,15.025/60/एसडी पर बीटीयू/घन फु
400,쁩,BC2,BC2,BC2,BTUCF1473D,"BTU/Foot khối ở 14,73/60/SD"
400,뱋,BC2,БТ2,БТ2,БЖБТФ1473D,БЖБ/текше фут (14.73/60/SD)
400,묩,BC2,BC2,BC2,BTUCF1473D,14.73/60/एसडी पर बीटीयू/घन फुट
400,쁩,BC3,BC3,BC3,BTUCF1465D,"BTU/Foot khối ở 14,65/60/SD"
400,뱋,BC3,БТ3,БТ3,БЖБТФ1465D,БЖБ/текше фут (14.65/60/SD)
400,묩,BC3,BC3,BC3,BTUCF1465D,14.65/60/एसडी पर बीटीयू/घन फुट
400,쁩,BM2,BM2,Bq/m2,Bq/m2,Becquerels trên mỗi m2
400,뱋,BM2,BM2,Бк/м2,Бк/м2,Шаршы метр бойынша беккерель
400,쁩,BOE,BOE,BOE,BOE,Thùng dầu tương đương
400,뱋,BOE,BOE,BOE,BOE,Мұнай баламасының баррелі
400,묩,BOE,BOE,BOE,BOE,तेल के बैरल के समकक्ष
400,쁩,BOT,BT,Chai,Chai,Chai
400,뱋,BOT,ШМК,Шмк.,Шөлмек,Шөлмек
400,쁩,BQ,BQ,Bq,Bq,Đơn vị đo phóng xạ (1/giây)
400,뱋,BQ,БК,Бк,Бк,Беккерель (1/секунд)
400,쁩,BQ2,BQ2,Bq/cm2,Bq/cm2,Becquerels trên mỗi cm2
400,뱋,BQ2,BQ2,Бк/см2,Бк/см2,Шаршы см бойынша беккерель
400,쁩,BQG,BQG,Bq/g,Bq/g,Becquerels mỗi gam
400,뱋,BQG,BQG,Бк/г,Бк/г,Грамм бойынша беккерель
400,묩,BQG,BQG,Bq/g,Bq/g,ग्राम प्रति बेक्वेरल
400,쁩,BQK,BQK,Bq/kg,Bq/kg,Becquerel/kg
400,뱋,BQK,БКК,Бк/кг,Бк/кг,Беккерель/килограмм
400,쁩,BTU,BTU,Btu,BTU,Đơn vị nhiệt Anh
400,뱋,BTU,БЖБ,Бжб,БЖБ,Британдық жылу бірлігі
400,쁩,Bqm,Bqm,Bq/m3,Bq/m3,Becquerel/mét khối
400,뱋,Bqm,Бкм,Бк/м3,Бекк./м3,Беккерель/текше метр
400,쁩,C10,RF,mF,mF,Mili Fara
400,뱋,C10,МФ,мФ,мФ,Миллифарад
400,쁩,C36,M/M,mol/m3,Mo/m3,Mol/mét khối
400,뱋,C36,M/M,мль/м3,Моль/м3,Моль/текше метр
400,쁩,C38,M/L,Mol/l,Mol/Lít,Mol/lít
400,뱋,C38,М/Л,Моль/л,Моль/литр,Бір литрдегі моль
400,쁩,C39,NA,nA,nA,Nano Ampe
400,뱋,C39,НА,нА,нА,Наноапмер
400,묩,C39,NA,nA,nA,नैनोऐम्पियर
400,쁩,C3S,C3S,cm3/gi,cm3/giây,Centimet khối/giây
400,뱋,C3S,С3С,см3/с,см3/с,Текше сантиметр/секунд
400,쁩,C41,R-U,nF,nF,Nano Fara
400,뱋,C41,НФ,нФ,нФ,Нанофарад
400,묩,C41,R-U,nF,नैनोफैरड,नैनोफैरड
400,쁩,CDM,CD3,dm3,Decimet k.,Decimet khối
400,뱋,CDM,ТД,тд,Текш.дец-р,Текше дециметр
400,쁩,CM,CM,cm,cm,Centi met
400,뱋,CM,СМ,см,см,Сантиметр
400,묩,CM,CM,सेमी,सेंटीमीटर,सेंटीमीटर
400,쁩,CM2,CM2,cm2,cm2,Centimet vuông
400,뱋,CM2,СМ2,см2,см2,Шаршы сантиметр
400,묩,CM2,CM2,cm2,cm2,वर्ग सेंटीमीटर
400,쁩,C56,NMM,N/mm2,N/mm2,Newton/Millimét vuông
400,뱋,C56,НММ,Н/мм2,Н/мм2,Ньютон/шаршы миллиметр
400,쁩,CCK,CCK,CCK,CCM/KG,Cm3 cho mỗi kilogram
400,뱋,CCK,КЕК,КЕК,СМЗ/КГ,Текше сантиметр/килограмм
400,쁩,CCM,CCM,cm3,cm3,Centi met khối
400,뱋,CCM,СМ3,см3,см3,Текше сантиметр
400,쁩,CD,CD,cd,cd,Candela
400,뱋,CD,КД,кд,кд,Кандела
400,묩,CD,CD,कैंडे.,कैंडेला,कैंडेला
400,쁩,CMH,CMH,cm/h,cm/giờ,Centimet/giờ
400,뱋,CMH,С/С,см/сағ,см/сағ,Сантиметр/сағат
400,묩,CMH,CMH,सेमी/घ,सेमी/घंटा,सेंटीमीटर/घंटा
400,쁩,COP,COP,COP,B.sao,B.sao
400,뱋,COP,COP,COP,Көшірмелер,Көшірмелер
400,쁩,CS,CV,T.hợp,T.hợp,T.hợp
400,뱋,CS,ЖӘШ,Жәшік,Жәшік,Жәшік
400,묩,CS,CV,केस,केस,केस
400,1,CS,CV,箱,箱,箱
400,쁩,CTL,CL,Cl,centilít,centilít
400,뱋,CTL,СЛ,Сл,Сантилитр,Сантилитр
400,묩,CTL,CL,Cl,सेंटीलीटर,सेंटीलीटर
400,쁩,D10,A/V,A/V,Ximen/mét,Ximen mỗi mét
400,뱋,D10,С/М,С/м,Сименс/м,Бір метрдегі сименс
400,쁩,D41,TOM,t/m3,t/m3,Tấn/Mét khối
400,뱋,D41,ТМ3,т/м3,т/м3,Тонна/текше метр
400,쁩,D46,VAM,VAM,VA,Vol Ampere
400,뱋,D46,ВАМ,ВАм,ВА,Вольтампер
400,묩,D46,VAM,VAM,VA,वोल्ट ऐम्पियर
400,쁩,D95,JG,J/G,J/G,Jun/gam
400,뱋,D95,ДжГ,Дж/г,Дж/г,Джоуль/грамм
400,쁩,DBA,dBA,dB(A),db(A),Đêxiben (Trọng số A)
400,뱋,DBA,дБA,дБ(А),дб(А),Децибел (А өлшеу)
400,묩,DBA,dBA,dB(A),db(A),डेसीबल (A भार)
400,쁩,DBC,dBC,dB(C),dB(C),Đêxiben (Trọng số C)
400,뱋,DBC,дБС,дБ(С),дБ(С),Децибел (С өлшеу)
400,묩,DBC,dBC,dB(C),dB(C),डेसीबल (C भार)
400,쁩,DEG,DEG,deg,Degree,Degree
400,뱋,DEG,ГР,гр.,Градус,Градус
400,묩,DEG,DEG,डिग्री,डिग्री,डिग्री
400,쁩,DGP,DGP,DGP,Điểm ADR,Điểm miễn trừ ADR DG
400,뱋,DGP,DGP,DGP,ADR ұпайл.,ADR DG босату нүктелері
400,묩,DGP,DGP,DGP,ADR पॉइंट,ADR DG छूट पॉइंट
400,쁩,DM,DM,dm,decimet,Decimet
400,뱋,DM,ДМ,дм,дм,Дециметр
400,묩,DM,DM,डेमी,डेसीमीटर,डेसीमीटर
400,쁩,DR,DR,dr,Drum,Drum
400,뱋,DR,БРБ,Бар-н,Барабан,Барабан
400,묩,DR,DR,ड्रम,ड्रम,ड्रम
400,쁩,DZ,DZ,dz,Tá,Tá
400,뱋,DZ,ОНД,онд.,Ондық,Ондық
400,묩,DZ,DZ,दर्जन,दर्जन,दर्जन
400,쁩,EA,ea,ea,Mỗi,Mỗi
400,뱋,EA,ӘР,ӘР,Әр,Әр
400,묩,EA,EA,EA,हरएक,हरएक
400,쁩,EE,eu,eu,Đ.v Enzim,Các đơn vị Enzim
400,뱋,EE,ЭБ,ЭнзБір,Энзим бір.,Энзим бірліктері
400,묩,EE,EU,EU,एंज़ाइम यू.,एंज़ाइम यूनिट
400,6,DR,BUB,Bubanj,Bubanj,Bubanj
400,8,DZ,ДЮЖ,дюжина,Дюжина,Дюжина
400,7,DZ,DZ,dz,Dozen,Dozen
400,6,DZ,DZ,tucet,Tucet,Tucet
400,7,EA,EA,EA,Setiap,Setiap
400,6,EA,SV.,SVAKI,svaki,Svaki
400,7,EE,UE,UE,Unit Enzim,Unit Enzim
400,6,EE,JE,JE,Jed.enzima,Jedinice enzima
400,7,EML,EML,UE/ml,Enzim/ml,Unit Enzim/Mililiter
400,6,EML,EML,JE/ml,Enzim/ml,Jedinice enzima/mililitar
400,7,EXR,EXR,EXR,Kdr Prtkrn,Nilai kadar pertukaran
400,6,EXR,EXR,TEČAJ,Tečaj,Vrijednost tečaja
400,8,F,Ф,ф,Фарад,Фарад
400,7,F,F,F,F,Farad
400,8,FA,ФАР,Фар,Фаренгейт,ФАРЕНГЕЙТ
400,7,FA,°F,°F,°F,Fahrenheit
400,8,FAH,FAH,FAH,Фаренгейт,ФАРЕНГЕЙТ
400,7,FAH,FAH,FAH,Fahrenheit,Fahrenheit
400,8,FT,ФУТ,Фут,Фут,Фут
400,7,FT,FT,Kaki,Kaki,Kaki
400,6,FT,FT,Stopa,Stopa,Stopa
400,8,GAU,ГРЗ,Гр.зол,Грам зол.,Грам золота
400,7,GAU,GAU,GAU,Gram Emas,Gram Emas
400,6,GAU,GZL,GZL,Gram zlata,Gram zlata
400,8,GBQ,ГБк,ГБк,ГБк,Гігабекерель
400,7,GBQ,GBQ,GBq,GBq,Gigabecquerel
400,6,GBQ,GBQ,GBq,GBq,Gigabekerel
400,8,GC,Г.Ц,Гр.Цел,Гр.Цельсія,Градусів Цельсія
400,7,GC,°C,°C,°C,Darjah Celsius
400,6,GC,°C,°C,°C,Celzijev stupanj
400,7,FT2,FT2,ft2,Kaki segi.,Kaki persegi
400,6,FT2,ST2,st2,Kvadrat st,Kvadratna stopa
400,7,FT3,FT3,ft3,Kaki padu,Kaki padu
400,6,FT3,FT3,ft3,Kubična st,Kubična stopa
400,8,G,Г,г,Грам,Грам
400,7,G,G,g,g,Gram
400,8,G/L,Г/Л,гар/л,ГрАР/літр,Грам активної речовини/літр
400,7,G/L,G/L,gba/l,gba/liter,Gram Bahan Aktif/Liter
400,6,G/L,G/L,gas/l,gas/litra,Gram aktivnog sastojka/litra
400,8,GHG,ГГГ,г/гг,г/гг,Грам/гектограм
400,7,GHG,GHG,g/hg,g/hg,Gram/hektogram
400,6,GHG,GHG,g/hg,g/hg,Gram/hektogram
400,8,GJ,ГДЖ,ГДж,Гигаджоуль,Гигаджоуль
400,7,GJ,GJ,GJ,Gigajoule,Gigajoule
400,6,GJ,GJ,GJ,Gigadžul,Gigadžul
400,8,GJK,GJC,ГДж/Кл,ГДж/Кл,Гігаджоуль/кілолітр
400,7,GJK,GJC,GJ/kl,GJ/kl,Gigajoule/Kiloliter
400,6,GJK,GJC,GJ/kl,GJ/kl,Gigadžul po kilolitru
400,8,GJT,ГДТ,ГДж/т,ГДж/т,Гігаджоулі/тонна
400,7,GJT,GJT,GJ/t,GJ/t,Gigajoule/Tan
400,6,GJT,GJT,GJ/t,GJ/t,Gigadžuli/tona
400,8,GKG,ГКГ,г/кг,г/кг,Грам/кілограм
400,7,GKG,GKG,g/kg,g/kg,Gram/kilogram
400,8,GLI,ГРЛ,г/л,г/л,Грам/літр
400,7,GLI,GLI,g/l,g/l,Gram/liter
400,6,GLI,GLI,g/l,g/l,Gram/litra
400,8,GLL,ГАЛ,Г.США,Галон США,Галон США
400,7,GLL,GAL,gal AS,Gelen AS,Gelen AS
400,6,GLL,GAL,gal US,Galon (US),Galon (US)
400,8,GLM,ГНМ,ГМ США,Га/ми(США),Галонів на милю (США)
400,7,GLM,GPB,GPB AS,Gel/Bt(AS),Gelen per batu (AS)
400,6,GLM,GPM,GPM US,Gal/Mi(US),Galona po milji (SAD)
400,8,GM,ГМ,Г/моль,Г/моль,Грам/моль
400,7,GM,GM,g/mol,g/mol,Gram/Mol
400,6,GM,GM,g/mol,g/mol,Gram/mol
400,8,GM2,ГМ2,Г/м2,Г/м2,Грам/квадратний метр
400,7,GM2,GM2,g/m2,g/m2,Gram/meter persegi
400,6,GM2,GM2,g/m2,g/m2,Gram/kvadratni metar
400,8,GPH,Г/Г,Гг США,Гал/г. США,Галонів на годину (США)
400,7,GPH,GPH,GPH AS,Gel/jm US,Gelen per jam (AS)
400,6,GPH,GPS,GPS US,Gal/hr US,Galona po satu (SAD)
400,8,GQ,МГ3,Мкг/м3,Мкг/м3,Мікрограм/кубічний метр
400,7,GQ,µGQ,µg/m3,µg/m3,Mikrogram/meter padu
400,6,GQ,µGQ,µg/m3,µg/m3,Mikrogram/kubični metar
400,8,GRO,ГРО,грос,Брутто,Брутто
400,7,GRO,GRO,kasar,Kasar,Kasar
400,6,GRO,BRT,bruto,Bruto,Bruto
400,8,GT,ГТ,г/т,г/т,Грам/тонна
400,7,GT,GT,g/t,g/t,Gram/Tan
400,6,GT,GT,g/t,g/t,Gram/tona
400,8,GW,ГАР,гар,гр.ак.реч.,Грам активної речовини
400,7,GW,GAI,gai,g bhn akt.,Gram Bahan Aktif
400,6,GW,GAS,gas,g akt.sast,Gram aktivnog sastojka
400,8,H,ГОД,година,Години,Години
400,7,H,Jam,jm,Jam,Jam
400,6,H,H,h,Sati,Sati
400,8,HAR,ГА,Гектар,Гектар,Гектар
400,7,HAR,HA,Hektar,Hektar,Hektar
400,8,HL,ГЛ,Гл,Гектолітр,Гектолітр
400,7,HL,HL,hl,hl,Hektoliter
400,6,HL,HL,hl,hl,Hektolitar
400,8,HPA,ГПА,гПа,гПа,Гектопаскаль
400,7,HPA,HPA,hPa,hPa,Hektopascal
400,6,HPA,HPA,hPa,hPa,Hektopaskal
400,8,HZ,ГЦ,Герц,Герц,Герц (1/секунда)
400,7,HZ,HZ,Hz,Hz,Hertz (1/saat)
